Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-07-10 20:36,AUDL,Philadelphia Phoenix,138,D,1,0,Defense,Pull,,,Daniel S,5.116,Daniel S,Leo P,Chip C,Antoine,Matt R,Brad S,Andrew A,,,,,,,,,,,,,,,,,,,,,,0
2015-07-10 20:36,AUDL,Philadelphia Phoenix,138,D,1,0,Defense,Throwaway,,,Anonymous,,Daniel S,Leo P,Chip C,Antoine,Matt R,Brad S,Andrew A,,,,,,,,,,,,,,,,,,,,,,128
2015-07-10 20:36,AUDL,Philadelphia Phoenix,138,D,1,0,Offense,Catch,Daniel S,Chip C,,,Daniel S,Leo P,Chip C,Antoine,Matt R,Brad S,Andrew A,,,,,,,,,,,,,,,,,,,,,,132
2015-07-10 20:36,AUDL,Philadelphia Phoenix,138,D,1,0,Offense,Goal,Chip C,Antoine,,,Daniel S,Leo P,Chip C,Antoine,Matt R,Brad S,Andrew A,,,,,,,,,,,,,,,,,,,,,,136
2015-07-10 20:36,AUDL,Philadelphia Phoenix,118,D,1,1,Defense,PullOb,,,Daniel S,,Daniel S,Leo P,Bryant D,Mike M,Matt R,Troy H,Brad S,,,,,,,,,,,,,,,,,,,,,,140
2015-07-10 20:36,AUDL,Philadelphia Phoenix,118,D,1,1,Defense,Goal,,,Anonymous,,Daniel S,Leo P,Bryant D,Mike M,Matt R,Troy H,Brad S,,,,,,,,,,,,,,,,,,,,,,256
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Ben F,Glenn P,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,255
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Glenn P,Ben F,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,264
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Ben F,Glenn P,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,268
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Glenn P,David B,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,272
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,David B,Glenn P,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,276
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Glenn P,Ben F,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,280
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Ben F,Anthon M,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,284
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Anthon M,Ben F,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,288
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Ben F,Anthon M,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,292
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Anthon M,Matt K,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,296
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Matt K,David B,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,300
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,David B,Ben F,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,384
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Ben F,Matt K,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,388
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Matt K,Ben F,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,392
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Ben F,Glenn P,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,396
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Glenn P,David B,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,400
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,David B,Glenn P,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,404
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Glenn P,Ben F,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,408
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Ben F,Matt K,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,412
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Matt K,Ben F,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,416
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Ben F,Anthon M,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,420
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Anthon M,Ben F,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,424
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,Ben F,David BK,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,428
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Catch,David BK,David B,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,432
2015-07-10 20:36,AUDL,Philadelphia Phoenix,183,O,2,1,Offense,Goal,David B,Anthon M,,,Ben F,Glenn P,Anthon M,David B,Matt K,David BK,Mark F,,,,,,,,,,,,,,,,,,,,,,436
2015-07-10 20:36,AUDL,Philadelphia Phoenix,106,D,3,1,Defense,Pull,,,Daniel S,5.43,Daniel S,Leo P,Chip C,Antoine,Matt R,Brad S,Andrew A,,,,,,,,,,,,,,,,,,,,,,440
2015-07-10 20:36,AUDL,Philadelphia Phoenix,106,D,3,1,Defense,Throwaway,,,Anonymous,,Daniel S,Leo P,Chip C,Antoine,Matt R,Brad S,Andrew A,,,,,,,,,,,,,,,,,,,,,,512
2015-07-10 20:36,AUDL,Philadelphia Phoenix,106,D,3,1,Offense,Catch,Daniel S,Matt R,,,Daniel S,Leo P,Chip C,Antoine,Matt R,Brad S,Andrew A,,,,,,,,,,,,,,,,,,,,,,516
2015-07-10 20:36,AUDL,Philadelphia Phoenix,106,D,3,1,Offense,Catch,Matt R,Brad S,,,Daniel S,Leo P,Chip C,Antoine,Matt R,Brad S,Andrew A,,,,,,,,,,,,,,,,,,,,,,520
2015-07-10 20:36,AUDL,Philadelphia Phoenix,106,D,3,1,Offense,Catch,Brad S,Matt R,,,Daniel S,Leo P,Chip C,Antoine,Matt R,Brad S,Andrew A,,,,,,,,,,,,,,,,,,,,,,524
2015-07-10 20:36,AUDL,Philadelphia Phoenix,106,D,3,1,Offense,Catch,Matt R,Chip C,,,Daniel S,Leo P,Chip C,Antoine,Matt R,Brad S,Andrew A,,,,,,,,,,,,,,,,,,,,,,528
2015-07-10 20:36,AUDL,Philadelphia Phoenix,106,D,3,1,Offense,Catch,Chip C,Matt R,,,Daniel S,Leo P,Chip C,Antoine,Matt R,Brad S,Andrew A,,,,,,,,,,,,,,,,,,,,,,532
2015-07-10 20:36,AUDL,Philadelphia Phoenix,106,D,3,1,Offense,Catch,Matt R,Andrew A,,,Daniel S,Leo P,Chip C,Antoine,Matt R,Brad S,Andrew A,,,,,,,,,,,,,,,,,,,,,,536
2015-07-10 20:36,AUDL,Philadelphia Phoenix,106,D,3,1,Offense,Catch,Andrew A,Brad S,,,Daniel S,Leo P,Chip C,Antoine,Matt R,Brad S,Andrew A,,,,,,,,,,,,,,,,,,,,,,540
2015-07-10 20:36,AUDL,Philadelphia Phoenix,106,D,3,1,Offense,Goal,Brad S,Matt R,,,Daniel S,Leo P,Chip C,Antoine,Matt R,Brad S,Andrew A,,,,,,,,,,,,,,,,,,,,,,544
2015-07-10 20:36,AUDL,Philadelphia Phoenix,126,D,3,2,Defense,Pull,,,Daniel S,1.318,Daniel S,Bryant D,Mike M,Antoine,Troy H,Anthon M,Andrew A,,,,,,,,,,,,,,,,,,,,,,548
