Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-05-16 19:20,AUDL,DC Breeze,153,D,1,0,Defense,Pull,,,Taylor S,6.903,Ward R,Ivers B,Taylor S,Bryant I,Drost M,LeMar M,Drost R,,,,,,,,,,,,,,,,,,,,,,0
2015-05-16 19:20,AUDL,DC Breeze,153,D,1,0,Defense,D,,,Drost M,,Ward R,Ivers B,Taylor S,Bryant I,Drost M,LeMar M,Drost R,,,,,,,,,,,,,,,,,,,,,,19
2015-05-16 19:20,AUDL,DC Breeze,153,D,1,0,Offense,Catch,Drost M,Taylor S,,,Ward R,Ivers B,Taylor S,Bryant I,Drost M,LeMar M,Drost R,,,,,,,,,,,,,,,,,,,,,,27
2015-05-16 19:20,AUDL,DC Breeze,153,D,1,0,Offense,Catch,Taylor S,Ward R,,,Ward R,Ivers B,Taylor S,Bryant I,Drost M,LeMar M,Drost R,,,,,,,,,,,,,,,,,,,,,,30
2015-05-16 19:20,AUDL,DC Breeze,153,D,1,0,Offense,Catch,Ward R,Drost R,,,Ward R,Ivers B,Taylor S,Bryant I,Drost M,LeMar M,Drost R,,,,,,,,,,,,,,,,,,,,,,33
2015-05-16 19:20,AUDL,DC Breeze,153,D,1,0,Offense,Catch,Drost R,LeMar M,,,Ward R,Ivers B,Taylor S,Bryant I,Drost M,LeMar M,Drost R,,,,,,,,,,,,,,,,,,,,,,38
2015-05-16 19:20,AUDL,DC Breeze,153,D,1,0,Offense,Throwaway,LeMar M,Anonymous,,,Ward R,Ivers B,Taylor S,Bryant I,Drost M,LeMar M,Drost R,,,,,,,,,,,,,,,,,,,,,,47
2015-05-16 19:20,AUDL,DC Breeze,153,D,1,0,Defense,D,,,Taylor S,,Ward R,Ivers B,Taylor S,Bryant I,Drost M,LeMar M,Drost R,,,,,,,,,,,,,,,,,,,,,,89
2015-05-16 19:20,AUDL,DC Breeze,153,D,1,0,Offense,Catch,Taylor S,Bryant I,,,Ward R,Ivers B,Taylor S,Bryant I,Drost M,LeMar M,Drost R,,,,,,,,,,,,,,,,,,,,,,122
2015-05-16 19:20,AUDL,DC Breeze,153,D,1,0,Offense,Catch,Bryant I,LeMar M,,,Ward R,Ivers B,Taylor S,Bryant I,Drost M,LeMar M,Drost R,,,,,,,,,,,,,,,,,,,,,,126
2015-05-16 19:20,AUDL,DC Breeze,153,D,1,0,Offense,Catch,LeMar M,Bryant I,,,Ward R,Ivers B,Taylor S,Bryant I,Drost M,LeMar M,Drost R,,,,,,,,,,,,,,,,,,,,,,129
2015-05-16 19:20,AUDL,DC Breeze,153,D,1,0,Offense,Goal,Bryant I,Ivers B,,,Ward R,Ivers B,Taylor S,Bryant I,Drost M,LeMar M,Drost R,,,,,,,,,,,,,,,,,,,,,,151
2015-05-16 19:20,AUDL,DC Breeze,81,D,2,0,Defense,Pull,,,Taylor S,7.32,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,209
2015-05-16 19:20,AUDL,DC Breeze,81,D,2,0,Defense,D,,,Ivers B,,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,233
2015-05-16 19:20,AUDL,DC Breeze,81,D,2,0,Offense,Catch,Baum M,Drost R,,,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,237
2015-05-16 19:20,AUDL,DC Breeze,81,D,2,0,Offense,Catch,Drost R,Baum M,,,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,241
2015-05-16 19:20,AUDL,DC Breeze,81,D,2,0,Offense,Catch,Baum M,Ward R,,,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,244
2015-05-16 19:20,AUDL,DC Breeze,81,D,2,0,Offense,Catch,Ward R,Baum M,,,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,248
2015-05-16 19:20,AUDL,DC Breeze,81,D,2,0,Offense,Catch,Baum M,Taylor S,,,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,253
2015-05-16 19:20,AUDL,DC Breeze,81,D,2,0,Offense,Catch,Taylor S,Ward R,,,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,259
2015-05-16 19:20,AUDL,DC Breeze,81,D,2,0,Offense,Catch,Ward R,Drost R,,,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,263
2015-05-16 19:20,AUDL,DC Breeze,81,D,2,0,Offense,Catch,Drost R,Baum M,,,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,270
2015-05-16 19:20,AUDL,DC Breeze,81,D,2,0,Offense,Catch,Baum M,Ward R,,,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,273
2015-05-16 19:20,AUDL,DC Breeze,81,D,2,0,Offense,Catch,Ward R,Drost M,,,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,276
2015-05-16 19:20,AUDL,DC Breeze,81,D,2,0,Offense,Catch,Drost M,Ivers B,,,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,280
2015-05-16 19:20,AUDL,DC Breeze,81,D,2,0,Offense,Catch,Ivers B,Drost R,,,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,284
2015-05-16 19:20,AUDL,DC Breeze,81,D,2,0,Offense,Goal,Drost R,Taylor S,,,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,288
2015-05-16 19:20,AUDL,DC Breeze,60,D,3,0,Defense,Pull,,,Baum M,4.43,Ward R,Bryant I,Awerbu B,Ouelle J,Guerin I,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,372
2015-05-16 19:20,AUDL,DC Breeze,60,D,3,0,Defense,Throwaway,,,Anonymous,,Ward R,Bryant I,Awerbu B,Ouelle J,Guerin I,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,376
2015-05-16 19:20,AUDL,DC Breeze,60,D,3,0,Offense,Catch,Bryant I,Baum M,,,Ward R,Bryant I,Awerbu B,Ouelle J,Guerin I,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,390
2015-05-16 19:20,AUDL,DC Breeze,60,D,3,0,Offense,Catch,Baum M,Awerbu B,,,Ward R,Bryant I,Awerbu B,Ouelle J,Guerin I,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,393
2015-05-16 19:20,AUDL,DC Breeze,60,D,3,0,Offense,Catch,Awerbu B,Ward R,,,Ward R,Bryant I,Awerbu B,Ouelle J,Guerin I,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,397
2015-05-16 19:20,AUDL,DC Breeze,60,D,3,0,Offense,Catch,Ward R,Baum M,,,Ward R,Bryant I,Awerbu B,Ouelle J,Guerin I,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,401
2015-05-16 19:20,AUDL,DC Breeze,60,D,3,0,Offense,Catch,Baum M,Guerin I,,,Ward R,Bryant I,Awerbu B,Ouelle J,Guerin I,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,405
2015-05-16 19:20,AUDL,DC Breeze,60,D,3,0,Offense,Catch,Guerin I,Bryant I,,,Ward R,Bryant I,Awerbu B,Ouelle J,Guerin I,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,423
2015-05-16 19:20,AUDL,DC Breeze,60,D,3,0,Offense,Goal,Bryant I,Ouelle J,,,Ward R,Bryant I,Awerbu B,Ouelle J,Guerin I,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,430
2015-05-16 19:20,AUDL,DC Breeze,22,D,3,1,Defense,Pull,,,Taylor S,8.271,Ivers B,Taylor S,Bryant I,Awerbu B,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,491
2015-05-16 19:20,AUDL,DC Breeze,22,D,3,1,Defense,Goal,,,Anonymous,,Ivers B,Taylor S,Bryant I,Awerbu B,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,511
2015-05-16 19:20,AUDL,DC Breeze,38,O,4,1,Offense,Catch,Katz B,Brooks T,,,Wining L,Katz B,Aulett M,Steven M,Wilkes A,Brooks T,Bemis E,,,,,,,,,,,,,,,,,,,,,,572
2015-05-16 19:20,AUDL,DC Breeze,38,O,4,1,Offense,Throwaway,Brooks T,Anonymous,,,Wining L,Katz B,Aulett M,Steven M,Wilkes A,Brooks T,Bemis E,,,,,,,,,,,,,,,,,,,,,,589
2015-05-16 19:20,AUDL,DC Breeze,38,O,4,1,Defense,Throwaway,,,Anonymous,,Wining L,Katz B,Aulett M,Steven M,Wilkes A,Brooks T,Bemis E,,,,,,,,,,,,,,,,,,,,,,596
2015-05-16 19:20,AUDL,DC Breeze,38,O,4,1,Offense,Goal,Wining L,Steven M,,,Wining L,Katz B,Aulett M,Steven M,Wilkes A,Brooks T,Bemis E,,,,,,,,,,,,,,,,,,,,,,608
2015-05-16 19:20,AUDL,DC Breeze,31,D,4,2,Defense,Pull,,,Taylor S,7.55,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,666
2015-05-16 19:20,AUDL,DC Breeze,31,D,4,2,Defense,Goal,,,Anonymous,,Ward R,Ivers B,Taylor S,Drost M,LeMar M,Drost R,Baum M,,,,,,,,,,,,,,,,,,,,,,695
2015-05-16 19:20,AUDL,DC Breeze,71,O,5,2,Offense,Catch,Wining L,Katz B,,,Wining L,Katz B,Aulett M,Steven M,Wilkes A,Brooks T,Bemis E,,,,,,,,,,,,,,,,,,,,,,747
2015-05-16 19:20,AUDL,DC Breeze,71,O,5,2,Offense,Catch,Katz B,Wilkes A,,,Wining L,Katz B,Aulett M,Steven M,Wilkes A,Brooks T,Bemis E,,,,,,,,,,,,,,,,,,,,,,757
2015-05-16 19:20,AUDL,DC Breeze,71,O,5,2,Offense,Catch,Wilkes A,Aulett M,,,Wining L,Katz B,Aulett M,Steven M,Wilkes A,Brooks T,Bemis E,,,,,,,,,,,,,,,,,,,,,,763
2015-05-16 19:20,AUDL,DC Breeze,71,O,5,2,Offense,Catch,Aulett M,Katz B,,,Wining L,Katz B,Aulett M,Steven M,Wilkes A,Brooks T,Bemis E,,,,,,,,,,,,,,,,,,,,,,767
2015-05-16 19:20,AUDL,DC Breeze,71,O,5,2,Offense,Catch,Katz B,Aulett M,,,Wining L,Katz B,Aulett M,Steven M,Wilkes A,Brooks T,Bemis E,,,,,,,,,,,,,,,,,,,,,,788
2015-05-16 19:20,AUDL,DC Breeze,71,O,5,2,Offense,Catch,Aulett M,Katz B,,,Wining L,Katz B,Aulett M,Steven M,Wilkes A,Brooks T,Bemis E,,,,,,,,,,,,,,,,,,,,,,791
2015-05-16 19:20,AUDL,DC Breeze,71,O,5,2,Offense,Catch,Katz B,Brooks T,,,Wining L,Katz B,Aulett M,Steven M,Wilkes A,Brooks T,Bemis E,,,,,,,,,,,,,,,,,,,,,,795
2015-05-16 19:20,AUDL,DC Breeze,71,O,5,2,Offense,Catch,Brooks T,Steven M,,,Wining L,Katz B,Aulett M,Steven M,Wilkes A,Brooks T,Bemis E,,,,,,,,,,,,,,,,,,,,,,798
2015-05-16 19:20,AUDL,DC Breeze,71,O,5,2,Offense,Catch,Steven M,Wilkes A,,,Wining L,Katz B,Aulett M,Steven M,Wilkes A,Brooks T,Bemis E,,,,,,,,,,,,,,,,,,,,,,803
2015-05-16 19:20,AUDL,DC Breeze,71,O,5,2,Offense,Catch,Wilkes A,Wining L,,,Wining L,Katz B,Aulett M,Steven M,Wilkes A,Brooks T,Bemis E,,,,,,,,,,,,,,,,,,,,,,809
2015-05-16 19:20,AUDL,DC Breeze,71,O,5,2,Offense,Goal,Wining L,Bemis E,,,Wining L,Katz B,Aulett M,Steven M,Wilkes A,Brooks T,Bemis E,,,,,,,,,,,,,,,,,,,,,,816
2015-05-16 19:20,AUDL,DC Breeze,81,D,6,2,Defense,Pull,,,Taylor S,8.391,Ward R,Ivers B,Taylor S,Bryant I,Drost M,LeMar M,Drost R,,,,,,,,,,,,,,,,,,,,,,875
2015-05-16 19:20,AUDL,DC Breeze,81,D,6,2,Defense,Throwaway,,,Anonymous,,Ward R,Ivers B,Taylor S,Bryant I,Drost M,LeMar M,Drost R,,,,,,,,,,,,,,,,,,,,,,913
2015-05-16 19:20,AUDL,DC Breeze,81,D,6,2,Offense,Catch,LeMar M,Drost R,,,Ward R,Ivers B,Taylor S,Bryant I,Drost M,LeMar M,Drost R,,,,,,,,,,,,,,,,,,,,,,922
