Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-07-04 15:49,Regular Season Game 1,DC Breeze,69,O,0,1,Offense,Catch,JanssenD,AlexandD,,,ForestNL,AlexandD,WestwelS,HillJ,WayK,AlexandK,JanssenD,,,,,,,,,,,,,,,,,,,,,,0
2015-07-04 15:49,Regular Season Game 1,DC Breeze,69,O,0,1,Offense,Catch,AlexandD,WayK,,,ForestNL,AlexandD,WestwelS,HillJ,WayK,AlexandK,JanssenD,,,,,,,,,,,,,,,,,,,,,,10
2015-07-04 15:49,Regular Season Game 1,DC Breeze,69,O,0,1,Offense,Catch,WayK,HillJ,,,ForestNL,AlexandD,WestwelS,HillJ,WayK,AlexandK,JanssenD,,,,,,,,,,,,,,,,,,,,,,14
2015-07-04 15:49,Regular Season Game 1,DC Breeze,69,O,0,1,Offense,Catch,HillJ,JanssenD,,,ForestNL,AlexandD,WestwelS,HillJ,WayK,AlexandK,JanssenD,,,,,,,,,,,,,,,,,,,,,,21
2015-07-04 15:49,Regular Season Game 1,DC Breeze,69,O,0,1,Offense,Catch,JanssenD,ForestNL,,,ForestNL,AlexandD,WestwelS,HillJ,WayK,AlexandK,JanssenD,,,,,,,,,,,,,,,,,,,,,,24
2015-07-04 15:49,Regular Season Game 1,DC Breeze,69,O,0,1,Offense,Catch,ForestNL,AlexandD,,,ForestNL,AlexandD,WestwelS,HillJ,WayK,AlexandK,JanssenD,,,,,,,,,,,,,,,,,,,,,,27
2015-07-04 15:49,Regular Season Game 1,DC Breeze,69,O,0,1,Offense,Catch,AlexandD,HillJ,,,ForestNL,AlexandD,WestwelS,HillJ,WayK,AlexandK,JanssenD,,,,,,,,,,,,,,,,,,,,,,33
2015-07-04 15:49,Regular Season Game 1,DC Breeze,69,O,0,1,Offense,Catch,HillJ,WayK,,,ForestNL,AlexandD,WestwelS,HillJ,WayK,AlexandK,JanssenD,,,,,,,,,,,,,,,,,,,,,,37
2015-07-04 15:49,Regular Season Game 1,DC Breeze,69,O,0,1,Offense,Drop,WayK,AlexandK,,,ForestNL,AlexandD,WestwelS,HillJ,WayK,AlexandK,JanssenD,,,,,,,,,,,,,,,,,,,,,,42
2015-07-04 15:49,Regular Season Game 1,DC Breeze,69,O,0,1,Defense,Goal,,,Anonymous,,ForestNL,AlexandD,WestwelS,HillJ,WayK,AlexandK,JanssenD,,,,,,,,,,,,,,,,,,,,,,67
2015-07-04 15:49,Regular Season Game 1,DC Breeze,79,O,0,2,Offense,Catch,AlexandD,HaigJ,,,GeeK,HaigJ,AlexandD,WestwelS,HillJ,WayK,BoucherN,,,,,,,,,,,,,,,,,,,,,,140
2015-07-04 15:49,Regular Season Game 1,DC Breeze,79,O,0,2,Offense,Catch,HaigJ,AlexandD,,,GeeK,HaigJ,AlexandD,WestwelS,HillJ,WayK,BoucherN,,,,,,,,,,,,,,,,,,,,,,149
2015-07-04 15:49,Regular Season Game 1,DC Breeze,79,O,0,2,Offense,Catch,AlexandD,GeeK,,,GeeK,HaigJ,AlexandD,WestwelS,HillJ,WayK,BoucherN,,,,,,,,,,,,,,,,,,,,,,153
2015-07-04 15:49,Regular Season Game 1,DC Breeze,79,O,0,2,Offense,Catch,GeeK,HillJ,,,GeeK,HaigJ,AlexandD,WestwelS,HillJ,WayK,BoucherN,,,,,,,,,,,,,,,,,,,,,,157
2015-07-04 15:49,Regular Season Game 1,DC Breeze,79,O,0,2,Offense,Throwaway,HillJ,Anonymous,,,GeeK,HaigJ,AlexandD,WestwelS,HillJ,WayK,BoucherN,,,,,,,,,,,,,,,,,,,,,,161
2015-07-04 15:49,Regular Season Game 1,DC Breeze,79,O,0,2,Defense,Goal,,,Anonymous,,GeeK,HaigJ,AlexandD,WestwelS,HillJ,WayK,BoucherN,,,,,,,,,,,,,,,,,,,,,,217
2015-07-04 15:49,Regular Season Game 1,DC Breeze,62,O,1,2,Offense,Catch,GreenC,AlexandD,,,McGregoJ,AlexandD,WayK,LeeM,GoodkeyM,BergM,GreenC,,,,,,,,,,,,,,,,,,,,,,268
2015-07-04 15:49,Regular Season Game 1,DC Breeze,62,O,1,2,Offense,Catch,AlexandD,WayK,,,McGregoJ,AlexandD,WayK,LeeM,GoodkeyM,BergM,GreenC,,,,,,,,,,,,,,,,,,,,,,279
2015-07-04 15:49,Regular Season Game 1,DC Breeze,62,O,1,2,Offense,Catch,WayK,BergM,,,McGregoJ,AlexandD,WayK,LeeM,GoodkeyM,BergM,GreenC,,,,,,,,,,,,,,,,,,,,,,283
