Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-07-12 13:20,AUDL,Rochester,178,D,1,0,Defense,Pull,,,Fortin E,3.005,Forste R,Harrit C,Fortin E,Wolf K,Hampso D,Eskin Z,,,,,,,,,,,,,,,,,,,,,,,0
2015-07-12 13:20,AUDL,Rochester,178,D,1,0,Defense,Throwaway,,,Anonymous,,Forste R,Harrit C,Fortin E,Wolf K,Hampso D,Eskin Z,,,,,,,,,,,,,,,,,,,,,,,8
2015-07-12 13:20,AUDL,Rochester,178,D,1,0,Offense,Catch,Wolf K,Forste R,,,Forste R,Harrit C,Fortin E,Wolf K,Hampso D,Eskin Z,,,,,,,,,,,,,,,,,,,,,,,172
2015-07-12 13:20,AUDL,Rochester,178,D,1,0,Offense,Goal,Forste R,Wolf K,,,Forste R,Harrit C,Fortin E,Wolf K,Hampso D,Eskin Z,,,,,,,,,,,,,,,,,,,,,,,176
2015-07-12 13:20,AUDL,Rochester,6,D,1,1,Defense,Pull,,,Fortin E,,Forste R,Harrit C,Fortin E,Wolf K,Hampso D,Eskin Z,,,,,,,,,,,,,,,,,,,,,,,201
2015-07-12 13:20,AUDL,Rochester,6,D,1,1,Defense,Goal,,,Anonymous,,Forste R,Harrit C,Fortin E,Wolf K,Hampso D,Eskin Z,,,,,,,,,,,,,,,,,,,,,,,205
2015-07-12 13:20,AUDL,Rochester,7,O,2,1,Offense,Goal,Forste R,Seyler J,,,Forste R,Harrit C,Fortin E,Wolf K,Hampso D,Seyler J,Eskin Z,,,,,,,,,,,,,,,,,,,,,,237
2015-07-12 13:20,AUDL,Rochester,8,D,2,2,Defense,Pull,,,Michel M,3.237,Michel M,Forste R,Harrit C,Wolf K,Hampso D,Seyler J,Eskin Z,,,,,,,,,,,,,,,,,,,,,,304
2015-07-12 13:20,AUDL,Rochester,8,D,2,2,Defense,Goal,,,Anonymous,,Michel M,Forste R,Harrit C,Wolf K,Hampso D,Seyler J,Eskin Z,,,,,,,,,,,,,,,,,,,,,,310
2015-07-12 13:20,AUDL,Rochester,23,O,3,2,Offense,Catch,Michel M,Allen T,,,Michel M,Fortin E,Allen T,Bushek A,Hampso D,Sisto J,Seyler J,,,,,,,,,,,,,,,,,,,,,,345
2015-07-12 13:20,AUDL,Rochester,23,O,3,2,Offense,Catch,Allen T,Fortin E,,,Michel M,Fortin E,Allen T,Bushek A,Hampso D,Sisto J,Seyler J,,,,,,,,,,,,,,,,,,,,,,354
2015-07-12 13:20,AUDL,Rochester,23,O,3,2,Offense,Drop,Fortin E,Michel M,,,Michel M,Fortin E,Allen T,Bushek A,Hampso D,Sisto J,Seyler J,,,,,,,,,,,,,,,,,,,,,,358
2015-07-12 13:20,AUDL,Rochester,23,O,3,2,Defense,Throwaway,,,Anonymous,,Michel M,Fortin E,Allen T,Bushek A,Hampso D,Sisto J,Seyler J,,,,,,,,,,,,,,,,,,,,,,362
2015-07-12 13:20,AUDL,Rochester,23,O,3,2,Offense,Goal,Bushek A,Hampso D,,,Michel M,Fortin E,Allen T,Bushek A,Hampso D,Sisto J,Seyler J,,,,,,,,,,,,,,,,,,,,,,366
2015-07-12 13:20,AUDL,Rochester,6,D,3,3,Defense,Pull,,,Michel M,2.205,Michel M,Fortin E,Allen T,Bushek A,Hampso D,Sisto J,Seyler J,,,,,,,,,,,,,,,,,,,,,,378
2015-07-12 13:20,AUDL,Rochester,6,D,3,3,Defense,Goal,,,Anonymous,,Michel M,Fortin E,Allen T,Bushek A,Hampso D,Sisto J,Seyler J,,,,,,,,,,,,,,,,,,,,,,382
2015-07-12 13:20,AUDL,Rochester,15,O,4,3,Offense,Catch,Bushek A,Fortin E,,,Michel M,Fortin E,Allen T,Bushek A,Hampso D,Sisto J,Seyler J,,,,,,,,,,,,,,,,,,,,,,385
2015-07-12 13:20,AUDL,Rochester,15,O,4,3,Offense,Catch,Fortin E,Michel M,,,Michel M,Fortin E,Allen T,Bushek A,Hampso D,Sisto J,Seyler J,,,,,,,,,,,,,,,,,,,,,,394
2015-07-12 13:20,AUDL,Rochester,15,O,4,3,Offense,Goal,Michel M,Seyler J,,,Michel M,Fortin E,Allen T,Bushek A,Hampso D,Sisto J,Seyler J,,,,,,,,,,,,,,,,,,,,,,398
2015-07-12 13:20,AUDL,Rochester,7,D,4,4,Defense,Pull,,,Michel M,1.983,Michel M,Fortin E,Allen T,Bushek A,Hampso D,Sisto J,Seyler J,,,,,,,,,,,,,,,,,,,,,,417
2015-07-12 13:20,AUDL,Rochester,7,D,4,4,Defense,Goal,,,Anonymous,,Michel M,Fortin E,Allen T,Bushek A,Hampso D,Sisto J,Seyler J,,,,,,,,,,,,,,,,,,,,,,422
2015-07-12 13:20,AUDL,Rochester,7,O,5,4,Offense,Goal,Hampso D,Bushek A,,,Michel M,Hollow J,Allen T,Bushek A,Hampso D,Sisto J,Seyler J,,,,,,,,,,,,,,,,,,,,,,457
2015-07-12 13:20,AUDL,Rochester,16,D,6,4,Defense,Pull,,,Hollow J,,Hollow J,Forste R,Allen T,Peezic S,Wolf K,Bushek A,,,,,,,,,,,,,,,,,,,,,,,504
2015-07-12 13:20,AUDL,Rochester,16,D,6,4,Defense,Throwaway,,,Anonymous,,Hollow J,Forste R,Allen T,Peezic S,Wolf K,Bushek A,,,,,,,,,,,,,,,,,,,,,,,508
2015-07-12 13:20,AUDL,Rochester,16,D,6,4,Offense,Catch,Peezic S,Wolf K,,,Hollow J,Forste R,Allen T,Peezic S,Wolf K,Bushek A,,,,,,,,,,,,,,,,,,,,,,,514
2015-07-12 13:20,AUDL,Rochester,16,D,6,4,Offense,Goal,Wolf K,Peezic S,,,Hollow J,Forste R,Allen T,Peezic S,Wolf K,Bushek A,,,,,,,,,,,,,,,,,,,,,,,518
2015-07-12 13:20,AUDL,Rochester,6,D,6,5,Defense,Pull,,,Michel M,10.875,Michel M,Harrit C,Lambor E,Hampso D,Sisto J,Eskin Z,Lu E,,,,,,,,,,,,,,,,,,,,,,673
2015-07-12 13:20,AUDL,Rochester,6,D,6,5,Defense,Goal,,,Anonymous,,Michel M,Harrit C,Lambor E,Hampso D,Sisto J,Eskin Z,Lu E,,,,,,,,,,,,,,,,,,,,,,677
2015-07-12 13:20,AUDL,Rochester,64,O,7,5,Offense,Catch,Forste R,Startz C,,,Startz C,Willia B,Forste R,Allen T,Peezic S,Wolf K,Seyler J,,,,,,,,,,,,,,,,,,,,,,808
2015-07-12 13:20,AUDL,Rochester,64,O,7,5,Offense,Catch,Startz C,Forste R,,,Startz C,Willia B,Forste R,Allen T,Peezic S,Wolf K,Seyler J,,,,,,,,,,,,,,,,,,,,,,817
2015-07-12 13:20,AUDL,Rochester,64,O,7,5,Offense,Catch,Forste R,Startz C,,,Startz C,Willia B,Forste R,Allen T,Peezic S,Wolf K,Seyler J,,,,,,,,,,,,,,,,,,,,,,820
2015-07-12 13:20,AUDL,Rochester,64,O,7,5,Offense,Catch,Startz C,Wolf K,,,Startz C,Willia B,Forste R,Allen T,Peezic S,Wolf K,Seyler J,,,,,,,,,,,,,,,,,,,,,,823
2015-07-12 13:20,AUDL,Rochester,64,O,7,5,Offense,Catch,Wolf K,Peezic S,,,Startz C,Willia B,Forste R,Allen T,Peezic S,Wolf K,Seyler J,,,,,,,,,,,,,,,,,,,,,,831
2015-07-12 13:20,AUDL,Rochester,64,O,7,5,Offense,Catch,Peezic S,Allen T,,,Startz C,Willia B,Forste R,Allen T,Peezic S,Wolf K,Seyler J,,,,,,,,,,,,,,,,,,,,,,842
2015-07-12 13:20,AUDL,Rochester,64,O,7,5,Offense,Catch,Allen T,Startz C,,,Startz C,Willia B,Forste R,Allen T,Peezic S,Wolf K,Seyler J,,,,,,,,,,,,,,,,,,,,,,853
2015-07-12 13:20,AUDL,Rochester,64,O,7,5,Offense,Catch,Startz C,Forste R,,,Startz C,Willia B,Forste R,Allen T,Peezic S,Wolf K,Seyler J,,,,,,,,,,,,,,,,,,,,,,867
2015-07-12 13:20,AUDL,Rochester,64,O,7,5,Offense,Goal,Forste R,Seyler J,,,Startz C,Willia B,Forste R,Allen T,Peezic S,Wolf K,Seyler J,,,,,,,,,,,,,,,,,,,,,,870
2015-07-12 13:20,AUDL,Rochester,55,D,8,5,Defense,Pull,,,Michel M,5.428,Nardel E,Michel M,Fortin E,Bushek A,Lambor E,Hampso D,Esser S,,,,,,,,,,,,,,,,,,,,,,934
2015-07-12 13:20,AUDL,Rochester,55,D,8,5,Defense,Throwaway,,,Anonymous,,Nardel E,Michel M,Fortin E,Bushek A,Lambor E,Hampso D,Esser S,,,,,,,,,,,,,,,,,,,,,,938
