Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-07-16 17:55,,Toronto Rush,59,O,1,0,Offense,Catch,Jon B,Max R,,,Jon B,Dan M,Carter M,Justin I,Max R,Connor F,Micky R,,,,,,,,,,,,,,,,,,,,,,0
2015-07-16 17:55,,Toronto Rush,59,O,1,0,Offense,Catch,Max R,Carter M,,,Jon B,Dan M,Carter M,Justin I,Max R,Connor F,Micky R,,,,,,,,,,,,,,,,,,,,,,9
2015-07-16 17:55,,Toronto Rush,59,O,1,0,Offense,Catch,Carter M,Max R,,,Jon B,Dan M,Carter M,Justin I,Max R,Connor F,Micky R,,,,,,,,,,,,,,,,,,,,,,13
2015-07-16 17:55,,Toronto Rush,59,O,1,0,Offense,Catch,Max R,Carter M,,,Jon B,Dan M,Carter M,Justin I,Max R,Connor F,Micky R,,,,,,,,,,,,,,,,,,,,,,17
2015-07-16 17:55,,Toronto Rush,59,O,1,0,Offense,Catch,Carter M,Connor F,,,Jon B,Dan M,Carter M,Justin I,Max R,Connor F,Micky R,,,,,,,,,,,,,,,,,,,,,,21
2015-07-16 17:55,,Toronto Rush,59,O,1,0,Offense,Throwaway,Connor F,Anonymous,,,Jon B,Dan M,Carter M,Justin I,Max R,Connor F,Micky R,,,,,,,,,,,,,,,,,,,,,,25
2015-07-16 17:55,,Toronto Rush,59,O,1,0,Defense,D,,,Jon B,,Jon B,Dan M,Carter M,Justin I,Max R,Connor F,Micky R,,,,,,,,,,,,,,,,,,,,,,29
2015-07-16 17:55,,Toronto Rush,59,O,1,0,Offense,Catch,Max R,Micky R,,,Jon B,Dan M,Carter M,Justin I,Max R,Connor F,Micky R,,,,,,,,,,,,,,,,,,,,,,33
2015-07-16 17:55,,Toronto Rush,59,O,1,0,Offense,Catch,Micky R,Connor F,,,Jon B,Dan M,Carter M,Justin I,Max R,Connor F,Micky R,,,,,,,,,,,,,,,,,,,,,,37
2015-07-16 17:55,,Toronto Rush,59,O,1,0,Offense,Catch,Connor F,Max R,,,Jon B,Dan M,Carter M,Justin I,Max R,Connor F,Micky R,,,,,,,,,,,,,,,,,,,,,,41
