Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-06-12 20:31,,vs Thunderbirds,133,D,1,0,Defense,Pull,,,Cullen,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,,,,,,,,,,,,,,,,,,,,,0
2015-06-12 20:31,,vs Thunderbirds,133,D,1,0,Defense,Throwaway,,,Anonymous,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,,,,,,,,,,,,,,,,,,,,,4
2015-06-12 20:31,,vs Thunderbirds,133,D,1,0,Offense,Catch,Fergus,Bob,,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,,,,,,,,,,,,,,,,,,,,,34
2015-06-12 20:31,,vs Thunderbirds,133,D,1,0,Offense,Catch,Bob,Fergus,,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,,,,,,,,,,,,,,,,,,,,,38
2015-06-12 20:31,,vs Thunderbirds,133,D,1,0,Offense,Catch,Fergus,Shiel,,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,,,,,,,,,,,,,,,,,,,,,41
2015-06-12 20:31,,vs Thunderbirds,133,D,1,0,Offense,Catch,Shiel,Cullen,,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,,,,,,,,,,,,,,,,,,,,,46
2015-06-12 20:31,,vs Thunderbirds,133,D,1,0,Offense,Catch,Cullen,Adrian,,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,,,,,,,,,,,,,,,,,,,,,50
2015-06-12 20:31,,vs Thunderbirds,133,D,1,0,Offense,Catch,Adrian,Cullen,,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,,,,,,,,,,,,,,,,,,,,,54
2015-06-12 20:31,,vs Thunderbirds,133,D,1,0,Offense,Catch,Cullen,Shiel,,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,,,,,,,,,,,,,,,,,,,,,58
2015-06-12 20:31,,vs Thunderbirds,133,D,1,0,Offense,Catch,Shiel,Fergus,,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,,,,,,,,,,,,,,,,,,,,,62
2015-06-12 20:31,,vs Thunderbirds,133,D,1,0,Offense,Catch,Fergus,Shiel,,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,,,,,,,,,,,,,,,,,,,,,66
2015-06-12 20:31,,vs Thunderbirds,133,D,1,0,Offense,Catch,Shiel,Cullen,,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,,,,,,,,,,,,,,,,,,,,,70
2015-06-12 20:31,,vs Thunderbirds,133,D,1,0,Offense,Catch,Cullen,Fergus,,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,,,,,,,,,,,,,,,,,,,,,74
2015-06-12 20:31,,vs Thunderbirds,133,D,1,0,Offense,Catch,Fergus,Cullen,,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,,,,,,,,,,,,,,,,,,,,,78
