Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-05-16 19:38,AUDL,Indianapolis Alleycats,162,D,0,1,Defense,Pull,,,Jansen B,5.448,Carrol K,Jansen B,Kaylor Z,Fox Cody,Russo,Grand C,Graves D,,,,,,,,,,,,,,,,,,,,,,0
2015-05-16 19:38,AUDL,Indianapolis Alleycats,162,D,0,1,Defense,Throwaway,,,Anonymous,,Carrol K,Jansen B,Kaylor Z,Fox Cody,Russo,Grand C,Graves D,,,,,,,,,,,,,,,,,,,,,,128
2015-05-16 19:38,AUDL,Indianapolis Alleycats,162,D,0,1,Offense,Catch,Jansen B,Carrol K,,,Carrol K,Jansen B,Kaylor Z,Fox Cody,Russo,Grand C,Graves D,,,,,,,,,,,,,,,,,,,,,,132
2015-05-16 19:38,AUDL,Indianapolis Alleycats,162,D,0,1,Offense,Catch,Carrol K,Russo,,,Carrol K,Jansen B,Kaylor Z,Fox Cody,Russo,Grand C,Graves D,,,,,,,,,,,,,,,,,,,,,,136
2015-05-16 19:38,AUDL,Indianapolis Alleycats,162,D,0,1,Offense,Catch,Russo,Grand C,,,Carrol K,Jansen B,Kaylor Z,Fox Cody,Russo,Grand C,Graves D,,,,,,,,,,,,,,,,,,,,,,140
2015-05-16 19:38,AUDL,Indianapolis Alleycats,162,D,0,1,Offense,Catch,Grand C,Kaylor Z,,,Carrol K,Jansen B,Kaylor Z,Fox Cody,Russo,Grand C,Graves D,,,,,,,,,,,,,,,,,,,,,,144
2015-05-16 19:38,AUDL,Indianapolis Alleycats,162,D,0,1,Offense,Throwaway,Kaylor Z,Anonymous,,,Carrol K,Jansen B,Kaylor Z,Fox Cody,Russo,Grand C,Graves D,,,,,,,,,,,,,,,,,,,,,,148
2015-05-16 19:38,AUDL,Indianapolis Alleycats,162,D,0,1,Defense,Throwaway,,,Anonymous,,Carrol K,Jansen B,Kaylor Z,Fox Cody,Russo,Grand C,Graves D,,,,,,,,,,,,,,,,,,,,,,152
2015-05-16 19:38,AUDL,Indianapolis Alleycats,162,D,0,1,Offense,Throwaway,Jansen B,Anonymous,,,Carrol K,Jansen B,Kaylor Z,Fox Cody,Russo,Grand C,Graves D,,,,,,,,,,,,,,,,,,,,,,156
2015-05-16 19:38,AUDL,Indianapolis Alleycats,162,D,0,1,Defense,Goal,,,Anonymous,,Carrol K,Jansen B,Kaylor Z,Fox Cody,Russo,Grand C,Graves D,,,,,,,,,,,,,,,,,,,,,,160
2015-05-16 19:38,AUDL,Indianapolis Alleycats,303,O,1,1,Offense,Catch,Schrin S,Dan Latz,,,Dan Latz,Mccart C,Schrin S,Latz J,Landis T,Mack Ed,Misleh G,,,,,,,,,,,,,,,,,,,,,,251
2015-05-16 19:38,AUDL,Indianapolis Alleycats,303,O,1,1,Offense,Catch,Dan Latz,Mccart C,,,Dan Latz,Mccart C,Schrin S,Latz J,Landis T,Mack Ed,Misleh G,,,,,,,,,,,,,,,,,,,,,,260
2015-05-16 19:38,AUDL,Indianapolis Alleycats,303,O,1,1,Offense,Catch,Mccart C,Dan Latz,,,Dan Latz,Mccart C,Schrin S,Latz J,Landis T,Mack Ed,Misleh G,,,,,,,,,,,,,,,,,,,,,,264
2015-05-16 19:38,AUDL,Indianapolis Alleycats,303,O,1,1,Offense,Catch,Dan Latz,Landis T,,,Dan Latz,Mccart C,Schrin S,Latz J,Landis T,Mack Ed,Misleh G,,,,,,,,,,,,,,,,,,,,,,268
2015-05-16 19:38,AUDL,Indianapolis Alleycats,303,O,1,1,Offense,Catch,Landis T,Misleh G,,,Dan Latz,Mccart C,Schrin S,Latz J,Landis T,Mack Ed,Misleh G,,,,,,,,,,,,,,,,,,,,,,272
2015-05-16 19:38,AUDL,Indianapolis Alleycats,303,O,1,1,Offense,Catch,Misleh G,Schrin S,,,Dan Latz,Mccart C,Schrin S,Latz J,Landis T,Mack Ed,Misleh G,,,,,,,,,,,,,,,,,,,,,,276
2015-05-16 19:38,AUDL,Indianapolis Alleycats,303,O,1,1,Offense,Catch,Schrin S,Landis T,,,Dan Latz,Mccart C,Schrin S,Latz J,Landis T,Mack Ed,Misleh G,,,,,,,,,,,,,,,,,,,,,,280
2015-05-16 19:38,AUDL,Indianapolis Alleycats,303,O,1,1,Offense,Catch,Landis T,Mccart C,,,Dan Latz,Mccart C,Schrin S,Latz J,Landis T,Mack Ed,Misleh G,,,,,,,,,,,,,,,,,,,,,,284
2015-05-16 19:38,AUDL,Indianapolis Alleycats,303,O,1,1,Offense,Catch,Mccart C,Mack Ed,,,Dan Latz,Mccart C,Schrin S,Latz J,Landis T,Mack Ed,Misleh G,,,,,,,,,,,,,,,,,,,,,,288
2015-05-16 19:38,AUDL,Indianapolis Alleycats,303,O,1,1,Offense,Catch,Mack Ed,Misleh G,,,Dan Latz,Mccart C,Schrin S,Latz J,Landis T,Mack Ed,Misleh G,,,,,,,,,,,,,,,,,,,,,,292
2015-05-16 19:38,AUDL,Indianapolis Alleycats,303,O,1,1,Offense,Catch,Misleh G,Dan Latz,,,Dan Latz,Mccart C,Schrin S,Latz J,Landis T,Mack Ed,Misleh G,,,,,,,,,,,,,,,,,,,,,,296
2015-05-16 19:38,AUDL,Indianapolis Alleycats,303,O,1,1,Offense,Catch,Dan Latz,Latz J,,,Dan Latz,Mccart C,Schrin S,Latz J,Landis T,Mack Ed,Misleh G,,,,,,,,,,,,,,,,,,,,,,300
2015-05-16 19:38,AUDL,Indianapolis Alleycats,303,O,1,1,Offense,Throwaway,Latz J,Anonymous,,,Dan Latz,Mccart C,Schrin S,Latz J,Landis T,Mack Ed,Misleh G,,,,,,,,,,,,,,,,,,,,,,304
2015-05-16 19:38,AUDL,Indianapolis Alleycats,303,O,1,1,Defense,Throwaway,,,Anonymous,,Dan Latz,Mccart C,Schrin S,Latz J,Landis T,Mack Ed,Misleh G,,,,,,,,,,,,,,,,,,,,,,308
