Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-07-11 19:05,AUDL,Minnesota Wind Chill,47,D,0,1,Defense,PullOb,,,Hutton N,,Page N,Hutton N,Gross R,Young L,Carlet P,Loscar S,Ringwo C,,,,,,,,,,,,,,,,,,,,,,0
2015-07-11 19:05,AUDL,Minnesota Wind Chill,47,D,0,1,Defense,Goal,,,Anonymous,,Page N,Hutton N,Gross R,Young L,Carlet P,Loscar S,Ringwo C,,,,,,,,,,,,,,,,,,,,,,45
2015-07-11 19:05,AUDL,Minnesota Wind Chill,292,O,0,2,Offense,Catch,Ventur B,Ames M,,,Brock C,Toine A,Ventur B,Ames M,Johnso E,Plew K,Jacobs L,,,,,,,,,,,,,,,,,,,,,,105
2015-07-11 19:05,AUDL,Minnesota Wind Chill,292,O,0,2,Offense,Catch,Ames M,Toine A,,,Brock C,Toine A,Ventur B,Ames M,Johnso E,Plew K,Jacobs L,,,,,,,,,,,,,,,,,,,,,,113
2015-07-11 19:05,AUDL,Minnesota Wind Chill,292,O,0,2,Offense,Catch,Toine A,Ames M,,,Brock C,Toine A,Ventur B,Ames M,Johnso E,Plew K,Jacobs L,,,,,,,,,,,,,,,,,,,,,,116
2015-07-11 19:05,AUDL,Minnesota Wind Chill,292,O,0,2,Offense,Catch,Ames M,Plew K,,,Brock C,Toine A,Ventur B,Ames M,Johnso E,Plew K,Jacobs L,,,,,,,,,,,,,,,,,,,,,,119
2015-07-11 19:05,AUDL,Minnesota Wind Chill,292,O,0,2,Offense,Catch,Plew K,Ventur B,,,Brock C,Toine A,Ventur B,Ames M,Johnso E,Plew K,Jacobs L,,,,,,,,,,,,,,,,,,,,,,123
2015-07-11 19:05,AUDL,Minnesota Wind Chill,292,O,0,2,Offense,Catch,Ventur B,Plew K,,,Brock C,Toine A,Ventur B,Ames M,Johnso E,Plew K,Jacobs L,,,,,,,,,,,,,,,,,,,,,,127
2015-07-11 19:05,AUDL,Minnesota Wind Chill,292,O,0,2,Offense,Catch,Plew K,Johnso E,,,Brock C,Toine A,Ventur B,Ames M,Johnso E,Plew K,Jacobs L,,,,,,,,,,,,,,,,,,,,,,131
2015-07-11 19:05,AUDL,Minnesota Wind Chill,292,O,0,2,Offense,Catch,Johnso E,Ames M,,,Brock C,Toine A,Ventur B,Ames M,Johnso E,Plew K,Jacobs L,,,,,,,,,,,,,,,,,,,,,,135
