Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-06-07 13:06,,Detroit Mechanix,31,O,1,0,Offense,Catch,B Hart,A Brown,,,J Sculli,N Thib,A Brown,Cooli,B Hart,D Wise,P Shriwi,,,,,,,,,,,,,,,,,,,,,,0
2015-06-07 13:06,,Detroit Mechanix,31,O,1,0,Offense,Catch,A Brown,N Thib,,,J Sculli,N Thib,A Brown,Cooli,B Hart,D Wise,P Shriwi,,,,,,,,,,,,,,,,,,,,,,10
2015-06-07 13:06,,Detroit Mechanix,31,O,1,0,Offense,Drop,N Thib,Cooli,,,J Sculli,N Thib,A Brown,Cooli,B Hart,D Wise,P Shriwi,,,,,,,,,,,,,,,,,,,,,,14
2015-06-07 13:06,,Detroit Mechanix,31,O,1,0,Defense,Throwaway,,,Anonymous,,J Sculli,N Thib,A Brown,Cooli,B Hart,D Wise,P Shriwi,,,,,,,,,,,,,,,,,,,,,,22
2015-06-07 13:06,,Detroit Mechanix,31,O,1,0,Offense,Goal,D Wise,B Hart,,,J Sculli,N Thib,A Brown,Cooli,B Hart,D Wise,P Shriwi,,,,,,,,,,,,,,,,,,,,,,29
2015-06-07 13:06,,Detroit Mechanix,54,D,1,1,Defense,Pull,,,K Brown,5.366,K Alex,Buddy,K Brown,B Ever,A Drews,A Mesh,J Froude,,,,,,,,,,,,,,,,,,,,,,92
2015-06-07 13:06,,Detroit Mechanix,54,D,1,1,Defense,D,,,A Mesh,,K Alex,Buddy,K Brown,B Ever,A Drews,A Mesh,J Froude,,,,,,,,,,,,,,,,,,,,,,108
2015-06-07 13:06,,Detroit Mechanix,54,D,1,1,Offense,Catch,A Mesh,A Drews,,,K Alex,Buddy,K Brown,B Ever,A Drews,A Mesh,J Froude,,,,,,,,,,,,,,,,,,,,,,117
2015-06-07 13:06,,Detroit Mechanix,54,D,1,1,Offense,Catch,A Drews,K Brown,,,K Alex,Buddy,K Brown,B Ever,A Drews,A Mesh,J Froude,,,,,,,,,,,,,,,,,,,,,,120
2015-06-07 13:06,,Detroit Mechanix,54,D,1,1,Offense,Drop,K Brown,A Drews,,,K Alex,Buddy,K Brown,B Ever,A Drews,A Mesh,J Froude,,,,,,,,,,,,,,,,,,,,,,125
