Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-05-30 19:09,AUDL,Madison Radicals,43,D,0,1,Defense,Pull,,,Rasmus E,3.928,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,0
2015-05-30 19:09,AUDL,Madison Radicals,43,D,0,1,Defense,Throwaway,,,Anonymous,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,10
2015-05-30 19:09,AUDL,Madison Radicals,43,D,0,1,Offense,Throwaway,Rasmus E,Anonymous,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,19
2015-05-30 19:09,AUDL,Madison Radicals,43,D,0,1,Defense,Goal,,,Anonymous,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,41
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,A-K Ian,Carr P,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,99
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Carr P,A-K Ian,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,107
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,A-K Ian,Caball L,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,110
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Caball L,Carr P,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,115
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Carr P,A-K Ian,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,119
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,A-K Ian,Collom D,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,123
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Collom D,Carr P,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,127
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Carr P,Caball L,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,131
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Caball L,Carr P,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,135
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Carr P,Jordan M,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,139
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Jordan M,A-K Ian,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,143
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,A-K Ian,Jordan M,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,147
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Jordan M,A-K Ian,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,151
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,A-K Ian,Caball L,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,155
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Caball L,Jagt B,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,159
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Jagt B,Caball L,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,163
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Caball L,Carr P,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,167
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Carr P,A-K Ian,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,171
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,A-K Ian,Carr P,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,175
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Carr P,Caball L,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,179
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Caball L,Bolton J,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,183
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Drop,Bolton J,Jordan M,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,187
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Defense,D,,,Caball L,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,190
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Caball L,Carr P,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,208
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Carr P,A-K Ian,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,211
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,A-K Ian,Carr P,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,215
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Catch,Carr P,Caball L,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,223
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Offense,Throwaway,Caball L,Anonymous,,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,228
2015-05-30 19:09,AUDL,Madison Radicals,148,O,0,2,Defense,Goal,,,Anonymous,,Caball L,Bolton J,Collom D,Jagt B,Carr P,Jordan M,A-K Ian,,,,,,,,,,,,,,,,,,,,,,245
2015-05-30 19:09,AUDL,Madison Radicals,64,O,1,2,Offense,Catch,Rasmus E,Heid N,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,302
2015-05-30 19:09,AUDL,Madison Radicals,64,O,1,2,Offense,Catch,Heid N,Rasmus E,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,311
2015-05-30 19:09,AUDL,Madison Radicals,64,O,1,2,Offense,Catch,Rasmus E,Shirle D,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,315
2015-05-30 19:09,AUDL,Madison Radicals,64,O,1,2,Offense,Catch,Shirle D,Sulliv B,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,319
2015-05-30 19:09,AUDL,Madison Radicals,64,O,1,2,Offense,Catch,Sulliv B,Schoen B,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,323
2015-05-30 19:09,AUDL,Madison Radicals,64,O,1,2,Offense,Catch,Schoen B,Matis B,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,327
2015-05-30 19:09,AUDL,Madison Radicals,64,O,1,2,Offense,Catch,Matis B,Schoen B,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,331
2015-05-30 19:09,AUDL,Madison Radicals,64,O,1,2,Offense,Catch,Schoen B,Matis B,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,335
2015-05-30 19:09,AUDL,Madison Radicals,64,O,1,2,Offense,Catch,Matis B,Shirle D,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,339
2015-05-30 19:09,AUDL,Madison Radicals,64,O,1,2,Offense,Catch,Shirle D,Heid N,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,343
2015-05-30 19:09,AUDL,Madison Radicals,64,O,1,2,Offense,Catch,Heid N,Merie Z,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,347
2015-05-30 19:09,AUDL,Madison Radicals,64,O,1,2,Offense,Catch,Merie Z,Schoen B,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,351
2015-05-30 19:09,AUDL,Madison Radicals,64,O,1,2,Offense,Catch,Schoen B,Heid N,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,355
2015-05-30 19:09,AUDL,Madison Radicals,64,O,1,2,Offense,Catch,Heid N,Matis B,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,359
2015-05-30 19:09,AUDL,Madison Radicals,64,O,1,2,Offense,Goal,Matis B,Shirle D,,,Sulliv B,Shirle D,Merie Z,Schoen B,Rasmus E,Heid N,Matis B,,,,,,,,,,,,,,,,,,,,,,364
2015-05-30 19:09,AUDL,Madison Radicals,53,D,1,3,Defense,Pull,,,Reis S,3.914,Shramk L,Schoen B,Arenso G,Reis S,Niles P,Jensen C,Hanke N,,,,,,,,,,,,,,,,,,,,,,423
2015-05-30 19:09,AUDL,Madison Radicals,53,D,1,3,Defense,D,,,Hanke N,,Shramk L,Schoen B,Arenso G,Reis S,Niles P,Jensen C,Hanke N,,,,,,,,,,,,,,,,,,,,,,433
2015-05-30 19:09,AUDL,Madison Radicals,53,D,1,3,Offense,Catch,Hanke N,Shramk L,,,Shramk L,Schoen B,Arenso G,Reis S,Niles P,Jensen C,Hanke N,,,,,,,,,,,,,,,,,,,,,,436
2015-05-30 19:09,AUDL,Madison Radicals,53,D,1,3,Offense,Catch,Shramk L,Jensen C,,,Shramk L,Schoen B,Arenso G,Reis S,Niles P,Jensen C,Hanke N,,,,,,,,,,,,,,,,,,,,,,440
2015-05-30 19:09,AUDL,Madison Radicals,53,D,1,3,Offense,Throwaway,Jensen C,Anonymous,,,Shramk L,Schoen B,Arenso G,Reis S,Niles P,Jensen C,Hanke N,,,,,,,,,,,,,,,,,,,,,,444
2015-05-30 19:09,AUDL,Madison Radicals,53,D,1,3,Defense,Goal,,,Anonymous,,Shramk L,Schoen B,Arenso G,Reis S,Niles P,Jensen C,Hanke N,,,,,,,,,,,,,,,,,,,,,,474
