Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-04-12 13:09,,Charlotte Express,27,O,1,0,Offense,Catch,Kyle S,Dylan T,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,0
2015-04-12 13:09,,Charlotte Express,27,O,1,0,Offense,Catch,Dylan T,J Clark,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,9
2015-04-12 13:09,,Charlotte Express,27,O,1,0,Offense,Catch,J Clark,B Hannah,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,13
2015-04-12 13:09,,Charlotte Express,27,O,1,0,Offense,Catch,B Hannah,B. Moore,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,17
2015-04-12 13:09,,Charlotte Express,27,O,1,0,Offense,Catch,B. Moore,Dylan T,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,21
2015-04-12 13:09,,Charlotte Express,27,O,1,0,Offense,Goal,Dylan T,Matt S,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,25
2015-04-12 13:09,,Charlotte Express,9,D,1,1,Defense,Pull,,,R Runner,6.206,TGoforth,R James,R Runner,S. Hicks,Archie,B. Liu,Jack K,,,,,,,,,,,,,,,,,,,,,,73
2015-04-12 13:09,,Charlotte Express,9,D,1,1,Defense,Goal,,,Anonymous,,TGoforth,R James,R Runner,S. Hicks,Archie,B. Liu,Jack K,,,,,,,,,,,,,,,,,,,,,,80
2015-04-12 13:09,,Charlotte Express,53,O,2,1,Offense,Catch,F Wooten,Dylan T,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,130
2015-04-12 13:09,,Charlotte Express,53,O,2,1,Offense,Catch,Dylan T,J Clark,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,138
2015-04-12 13:09,,Charlotte Express,53,O,2,1,Offense,Catch,J Clark,B. Moore,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,142
2015-04-12 13:09,,Charlotte Express,53,O,2,1,Offense,Catch,B. Moore,Kyle S,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,145
2015-04-12 13:09,,Charlotte Express,53,O,2,1,Offense,Catch,Kyle S,J Clark,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,149
2015-04-12 13:09,,Charlotte Express,53,O,2,1,Offense,Catch,J Clark,Dylan T,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,153
2015-04-12 13:09,,Charlotte Express,53,O,2,1,Offense,Catch,Dylan T,Matt S,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,157
2015-04-12 13:09,,Charlotte Express,53,O,2,1,Offense,Catch,Matt S,B Hannah,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,161
2015-04-12 13:09,,Charlotte Express,53,O,2,1,Offense,Catch,B Hannah,F Wooten,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,165
2015-04-12 13:09,,Charlotte Express,53,O,2,1,Offense,Catch,F Wooten,Dylan T,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,169
2015-04-12 13:09,,Charlotte Express,53,O,2,1,Offense,Catch,Dylan T,B Hannah,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,172
2015-04-12 13:09,,Charlotte Express,53,O,2,1,Offense,Goal,B Hannah,J Clark,,,Kyle S,Dylan T,Matt S,B Hannah,J Clark,F Wooten,B. Moore,,,,,,,,,,,,,,,,,,,,,,181
2015-04-12 13:09,,Charlotte Express,54,D,3,1,Defense,Pull,,,Breault,5.172,R James,Breault,R Runner,S. Hicks,Archie,B. Liu,Jack K,,,,,,,,,,,,,,,,,,,,,,233
2015-04-12 13:09,,Charlotte Express,54,D,3,1,Defense,Throwaway,,,Anonymous,,R James,Breault,R Runner,S. Hicks,Archie,B. Liu,Jack K,,,,,,,,,,,,,,,,,,,,,,245
2015-04-12 13:09,,Charlotte Express,54,D,3,1,Offense,Catch,Breault,R Runner,,,R James,Breault,R Runner,S. Hicks,Archie,B. Liu,Jack K,,,,,,,,,,,,,,,,,,,,,,252
2015-04-12 13:09,,Charlotte Express,54,D,3,1,Offense,Catch,R Runner,B. Liu,,,R James,Breault,R Runner,S. Hicks,Archie,B. Liu,Jack K,,,,,,,,,,,,,,,,,,,,,,256
2015-04-12 13:09,,Charlotte Express,54,D,3,1,Offense,Catch,B. Liu,S. Hicks,,,R James,Breault,R Runner,S. Hicks,Archie,B. Liu,Jack K,,,,,,,,,,,,,,,,,,,,,,262
2015-04-12 13:09,,Charlotte Express,54,D,3,1,Offense,Catch,S. Hicks,R Runner,,,R James,Breault,R Runner,S. Hicks,Archie,B. Liu,Jack K,,,,,,,,,,,,,,,,,,,,,,265
2015-04-12 13:09,,Charlotte Express,54,D,3,1,Offense,Catch,R Runner,R James,,,R James,Breault,R Runner,S. Hicks,Archie,B. Liu,Jack K,,,,,,,,,,,,,,,,,,,,,,269
2015-04-12 13:09,,Charlotte Express,54,D,3,1,Offense,Catch,R James,Breault,,,R James,Breault,R Runner,S. Hicks,Archie,B. Liu,Jack K,,,,,,,,,,,,,,,,,,,,,,272
2015-04-12 13:09,,Charlotte Express,54,D,3,1,Offense,Goal,Breault,R James,,,R James,Breault,R Runner,S. Hicks,Archie,B. Liu,Jack K,,,,,,,,,,,,,,,,,,,,,,285
2015-04-12 13:09,,Charlotte Express,27,D,4,1,Defense,Pull,,,Breault,7.285,TGoforth,Breault,R Runner,D Cox,RBradham,Archie,Matt K.,,,,,,,,,,,,,,,,,,,,,,333
2015-04-12 13:09,,Charlotte Express,27,D,4,1,Defense,Throwaway,,,Anonymous,,TGoforth,Breault,R Runner,D Cox,RBradham,Archie,Matt K.,,,,,,,,,,,,,,,,,,,,,,339
2015-04-12 13:09,,Charlotte Express,27,D,4,1,Offense,Goal,Matt K.,D Cox,,,TGoforth,Breault,R Runner,D Cox,RBradham,Archie,Matt K.,,,,,,,,,,,,,,,,,,,,,,358
2015-04-12 13:09,,Charlotte Express,61,D,4,2,Defense,Pull,,,B Hannah,6.779,R James,Matt S,S. Hicks,D Cox,B Hannah,Jack K,B. Moore,,,,,,,,,,,,,,,,,,,,,,408
2015-04-12 13:09,,Charlotte Express,61,D,4,2,Defense,Goal,,,Anonymous,,R James,Matt S,S. Hicks,D Cox,B Hannah,Jack K,B. Moore,,,,,,,,,,,,,,,,,,,,,,467
2015-04-12 13:09,,Charlotte Express,44,O,4,3,Offense,Catch,Kyle S,Dylan T,,,TGoforth,Kyle S,Dylan T,Breault,J Clark,Matt K.,B. Liu,,,,,,,,,,,,,,,,,,,,,,522
2015-04-12 13:09,,Charlotte Express,44,O,4,3,Offense,Catch,Dylan T,Kyle S,,,TGoforth,Kyle S,Dylan T,Breault,J Clark,Matt K.,B. Liu,,,,,,,,,,,,,,,,,,,,,,532
2015-04-12 13:09,,Charlotte Express,44,O,4,3,Offense,Throwaway,Kyle S,Anonymous,,,TGoforth,Kyle S,Dylan T,Breault,J Clark,Matt K.,B. Liu,,,,,,,,,,,,,,,,,,,,,,544
2015-04-12 13:09,,Charlotte Express,44,O,4,3,Defense,Goal,,,Anonymous,,TGoforth,Kyle S,Dylan T,Breault,J Clark,Matt K.,B. Liu,,,,,,,,,,,,,,,,,,,,,,564
2015-04-12 13:09,,Charlotte Express,121,O,4,4,Offense,Catch,Matt K.,R Runner,,,Breault,R Runner,Matt S,B Hannah,Matt K.,Jack K,B. Moore,,,,,,,,,,,,,,,,,,,,,,619
2015-04-12 13:09,,Charlotte Express,121,O,4,4,Offense,Catch,R Runner,Breault,,,Breault,R Runner,Matt S,B Hannah,Matt K.,Jack K,B. Moore,,,,,,,,,,,,,,,,,,,,,,627
2015-04-12 13:09,,Charlotte Express,121,O,4,4,Offense,Catch,Breault,B Hannah,,,Breault,R Runner,Matt S,B Hannah,Matt K.,Jack K,B. Moore,,,,,,,,,,,,,,,,,,,,,,631
2015-04-12 13:09,,Charlotte Express,121,O,4,4,Offense,Throwaway,B Hannah,Anonymous,,,Breault,R Runner,Matt S,B Hannah,Matt K.,Jack K,B. Moore,,,,,,,,,,,,,,,,,,,,,,635
2015-04-12 13:09,,Charlotte Express,121,O,4,4,Defense,D,,,B Hannah,,Breault,R Runner,Matt S,B Hannah,Matt K.,Jack K,B. Moore,,,,,,,,,,,,,,,,,,,,,,644
2015-04-12 13:09,,Charlotte Express,121,O,4,4,Offense,Catch,B Hannah,Jack K,,,Breault,R Runner,Matt S,B Hannah,Matt K.,Jack K,B. Moore,,,,,,,,,,,,,,,,,,,,,,671
2015-04-12 13:09,,Charlotte Express,121,O,4,4,Offense,Catch,Jack K,B Hannah,,,Breault,R Runner,Matt S,B Hannah,Matt K.,Jack K,B. Moore,,,,,,,,,,,,,,,,,,,,,,674
2015-04-12 13:09,,Charlotte Express,121,O,4,4,Offense,Catch,B Hannah,Matt K.,,,Breault,R Runner,Matt S,B Hannah,Matt K.,Jack K,B. Moore,,,,,,,,,,,,,,,,,,,,,,679
2015-04-12 13:09,,Charlotte Express,121,O,4,4,Offense,Throwaway,Matt K.,Anonymous,,,Breault,R Runner,Matt S,B Hannah,Matt K.,Jack K,B. Moore,,,,,,,,,,,,,,,,,,,,,,683
2015-04-12 13:09,,Charlotte Express,121,O,4,4,Defense,D,,,Matt K.,,Breault,R Runner,Matt S,B Hannah,Matt K.,Jack K,B. Moore,,,,,,,,,,,,,,,,,,,,,,706
2015-04-12 13:09,,Charlotte Express,121,O,4,4,Offense,Throwaway,Matt K.,Anonymous,,,Breault,R Runner,Matt S,B Hannah,Matt K.,Jack K,B. Moore,,,,,,,,,,,,,,,,,,,,,,710
2015-04-12 13:09,,Charlotte Express,121,O,4,4,Defense,Goal,,,Anonymous,,Breault,R Runner,Matt S,B Hannah,Matt K.,Jack K,B. Moore,,,,,,,,,,,,,,,,,,,,,,738
2015-04-12 13:09,,Charlotte Express,92,O,5,4,Offense,Catch,F Wooten,Dylan T,,,TGoforth,Kyle S,R James,Dylan T,J Clark,F Wooten,B. Liu,,,,,,,,,,,,,,,,,,,,,,794
2015-04-12 13:09,,Charlotte Express,92,O,5,4,Offense,Catch,Dylan T,J Clark,,,TGoforth,Kyle S,R James,Dylan T,J Clark,F Wooten,B. Liu,,,,,,,,,,,,,,,,,,,,,,803
2015-04-12 13:09,,Charlotte Express,92,O,5,4,Offense,Catch,J Clark,B. Liu,,,TGoforth,Kyle S,R James,Dylan T,J Clark,F Wooten,B. Liu,,,,,,,,,,,,,,,,,,,,,,808
2015-04-12 13:09,,Charlotte Express,92,O,5,4,Offense,Catch,B. Liu,TGoforth,,,TGoforth,Kyle S,R James,Dylan T,J Clark,F Wooten,B. Liu,,,,,,,,,,,,,,,,,,,,,,812
2015-04-12 13:09,,Charlotte Express,92,O,5,4,Offense,Throwaway,TGoforth,Anonymous,,,TGoforth,Kyle S,R James,Dylan T,J Clark,F Wooten,B. Liu,,,,,,,,,,,,,,,,,,,,,,825
2015-04-12 13:09,,Charlotte Express,92,O,5,4,Defense,Throwaway,,,Anonymous,,TGoforth,Kyle S,R James,Dylan T,J Clark,F Wooten,B. Liu,,,,,,,,,,,,,,,,,,,,,,844
