Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-07-11 18:06,,Nashville,22,O,1,0,Offense,Catch,Bode M,Hickson,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,0
2015-07-11 18:06,,Nashville,22,O,1,0,Offense,Catch,Hickson,Sullivan,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,8
2015-07-11 18:06,,Nashville,22,O,1,0,Offense,Goal,Sullivan,Freystae,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,20
2015-07-11 18:06,,Nashville,6,D,1,1,Defense,Pull,,,Travagli,1.63,Ierardi,Patterso,Brody J,Travagli,McKelvey,Carlet A,Seuntjen,,,,,,,,,,,,,,,,,,,,,,132
2015-07-11 18:06,,Nashville,6,D,1,1,Defense,Goal,,,Anonymous,,Ierardi,Patterso,Brody J,Travagli,McKelvey,Carlet A,Seuntjen,,,,,,,,,,,,,,,,,,,,,,136
2015-07-11 18:06,,Nashville,24,O,2,1,Offense,Catch,Carlet A,Hickson,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,178
2015-07-11 18:06,,Nashville,24,O,2,1,Offense,Catch,Hickson,Bode M,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,190
2015-07-11 18:06,,Nashville,24,O,2,1,Offense,Goal,Bode M,Poulos,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,200
2015-07-11 18:06,,Nashville,6,D,2,2,Defense,Pull,,,Walker J,3.616,Patterso,Mi Bode,Floyd Z,Walker J,Perales,Hunter N,Shepard,,,,,,,,,,,,,,,,,,,,,,333
2015-07-11 18:06,,Nashville,6,D,2,2,Defense,Goal,,,Anonymous,,Patterso,Mi Bode,Floyd Z,Walker J,Perales,Hunter N,Shepard,,,,,,,,,,,,,,,,,,,,,,337
2015-07-11 18:06,,Nashville,39,O,3,2,Offense,Catch,Hickson,Poulos,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,370
2015-07-11 18:06,,Nashville,39,O,3,2,Offense,Catch,Poulos,Carlet A,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,379
2015-07-11 18:06,,Nashville,39,O,3,2,Offense,Catch,Carlet A,Sullivan,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,383
2015-07-11 18:06,,Nashville,39,O,3,2,Offense,Catch,Sullivan,Bode M,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,387
2015-07-11 18:06,,Nashville,39,O,3,2,Offense,Catch,Bode M,Van Brus,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,391
2015-07-11 18:06,,Nashville,39,O,3,2,Offense,Catch,Van Brus,Bode M,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,395
2015-07-11 18:06,,Nashville,39,O,3,2,Offense,Catch,Bode M,Hickson,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,399
2015-07-11 18:06,,Nashville,39,O,3,2,Offense,Catch,Hickson,Poulos,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,403
2015-07-11 18:06,,Nashville,39,O,3,2,Offense,Goal,Poulos,Freystae,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,407
2015-07-11 18:06,,Nashville,42,D,3,3,Defense,Pull,,,Travagli,7.723,Ierardi,Patterso,Brody J,Travagli,McKelvey,Carlet A,Seuntjen,,,,,,,,,,,,,,,,,,,,,,458
2015-07-11 18:06,,Nashville,42,D,3,3,Defense,Throwaway,,,Anonymous,,Ierardi,Patterso,Brody J,Travagli,McKelvey,Carlet A,Seuntjen,,,,,,,,,,,,,,,,,,,,,,468
2015-07-11 18:06,,Nashville,42,D,3,3,Offense,Drop,Ierardi,Seuntjen,,,Ierardi,Patterso,Brody J,Travagli,McKelvey,Carlet A,Seuntjen,,,,,,,,,,,,,,,,,,,,,,483
2015-07-11 18:06,,Nashville,42,D,3,3,Defense,Goal,,,Anonymous,,Ierardi,Patterso,Brody J,Travagli,McKelvey,Carlet A,Seuntjen,,,,,,,,,,,,,,,,,,,,,,498
2015-07-11 18:06,,Nashville,37,O,4,3,Offense,Catch,Carlet A,Poulos,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,548
2015-07-11 18:06,,Nashville,37,O,4,3,Offense,Catch,Poulos,Sullivan,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,574
2015-07-11 18:06,,Nashville,37,O,4,3,Offense,Goal,Sullivan,Freystae,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,583
2015-07-11 18:06,,Nashville,137,D,4,4,Defense,Pull,,,Walker J,5.941,Patterso,Mi Bode,Floyd Z,Walker J,Perales,Hunter N,Shepard,,,,,,,,,,,,,,,,,,,,,,641
2015-07-11 18:06,,Nashville,137,D,4,4,Defense,Goal,,,Anonymous,,Patterso,Mi Bode,Floyd Z,Walker J,Perales,Hunter N,Shepard,,,,,,,,,,,,,,,,,,,,,,776
2015-07-11 18:06,,Nashville,24,O,5,4,Offense,Catch,Hickson,Carlet A,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,824
2015-07-11 18:06,,Nashville,24,O,5,4,Offense,Catch,Carlet A,Hickson,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,833
2015-07-11 18:06,,Nashville,24,O,5,4,Offense,Catch,Hickson,Sullivan,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,841
2015-07-11 18:06,,Nashville,24,O,5,4,Offense,Goal,Sullivan,Freystae,,,Poulos,Carlet A,Hickson,Van Brus,Freystae,Bode M,Sullivan,,,,,,,,,,,,,,,,,,,,,,846
2015-07-11 18:06,,Nashville,343,D,5,5,Defense,Pull,,,Travagli,7.547,Ierardi,Patterso,Brody J,Travagli,McKelvey,Carlet A,Seuntjen,,,,,,,,,,,,,,,,,,,,,,904
2015-07-11 18:06,,Nashville,343,D,5,5,Defense,D,,,Seuntjen,,Ierardi,Patterso,Brody J,Travagli,McKelvey,Carlet A,Seuntjen,,,,,,,,,,,,,,,,,,,,,,921
2015-07-11 18:06,,Nashville,343,D,5,5,Offense,Catch,Brody J,Patterso,,,Ierardi,Patterso,Brody J,Travagli,McKelvey,Carlet A,Seuntjen,,,,,,,,,,,,,,,,,,,,,,934
2015-07-11 18:06,,Nashville,343,D,5,5,Offense,Catch,Patterso,Ierardi,,,Ierardi,Patterso,Brody J,Travagli,McKelvey,Carlet A,Seuntjen,,,,,,,,,,,,,,,,,,,,,,937
2015-07-11 18:06,,Nashville,343,D,5,5,Offense,Drop,Ierardi,McKelvey,,,Ierardi,Patterso,Brody J,Travagli,McKelvey,Carlet A,Seuntjen,,,,,,,,,,,,,,,,,,,,,,949
2015-07-11 18:06,,Nashville,343,D,5,5,Defense,Throwaway,,,Anonymous,,Ierardi,Patterso,Brody J,Travagli,McKelvey,Carlet A,Seuntjen,,,,,,,,,,,,,,,,,,,,,,994
