Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-05-10 14:09,AUDL,Raleigh Flyers,33,O,1,0,Offense,Catch,Conger T,Ortiz J,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,0
2015-05-10 14:09,AUDL,Raleigh Flyers,33,O,1,0,Offense,Catch,Ortiz J,Terry K,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,11
2015-05-10 14:09,AUDL,Raleigh Flyers,33,O,1,0,Offense,Catch,Terry K,Ortiz J,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,15
2015-05-10 14:09,AUDL,Raleigh Flyers,33,O,1,0,Offense,Catch,Ortiz J,Conger T,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,19
2015-05-10 14:09,AUDL,Raleigh Flyers,33,O,1,0,Offense,Catch,Conger T,Terry K,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,23
2015-05-10 14:09,AUDL,Raleigh Flyers,33,O,1,0,Offense,Catch,Terry K,Radcli T,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,27
2015-05-10 14:09,AUDL,Raleigh Flyers,33,O,1,0,Offense,Goal,Radcli T,Ortiz J,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,31
2015-05-10 14:09,AUDL,Raleigh Flyers,62,D,2,0,Defense,Pull,,,Gallin M,5.55,Willia E,Trett D,Heath T,Carden J,Barnha A,Gallin M,Strass F,,,,,,,,,,,,,,,,,,,,,,87
2015-05-10 14:09,AUDL,Raleigh Flyers,62,D,2,0,Defense,D,,,Heath T,,Willia E,Trett D,Heath T,Carden J,Barnha A,Gallin M,Strass F,,,,,,,,,,,,,,,,,,,,,,107
2015-05-10 14:09,AUDL,Raleigh Flyers,62,D,2,0,Offense,Catch,Heath T,Willia E,,,Willia E,Trett D,Heath T,Carden J,Barnha A,Gallin M,Strass F,,,,,,,,,,,,,,,,,,,,,,112
2015-05-10 14:09,AUDL,Raleigh Flyers,62,D,2,0,Offense,Catch,Willia E,Gallin M,,,Willia E,Trett D,Heath T,Carden J,Barnha A,Gallin M,Strass F,,,,,,,,,,,,,,,,,,,,,,115
2015-05-10 14:09,AUDL,Raleigh Flyers,62,D,2,0,Offense,Throwaway,Gallin M,Anonymous,,,Willia E,Trett D,Heath T,Carden J,Barnha A,Gallin M,Strass F,,,,,,,,,,,,,,,,,,,,,,119
2015-05-10 14:09,AUDL,Raleigh Flyers,62,D,2,0,Defense,D,,,Strass F,,Willia E,Trett D,Heath T,Carden J,Barnha A,Gallin M,Strass F,,,,,,,,,,,,,,,,,,,,,,124
2015-05-10 14:09,AUDL,Raleigh Flyers,62,D,2,0,Offense,Catch,Strass F,Gallin M,,,Willia E,Trett D,Heath T,Carden J,Barnha A,Gallin M,Strass F,,,,,,,,,,,,,,,,,,,,,,129
2015-05-10 14:09,AUDL,Raleigh Flyers,62,D,2,0,Offense,Catch,Gallin M,Carden J,,,Willia E,Trett D,Heath T,Carden J,Barnha A,Gallin M,Strass F,,,,,,,,,,,,,,,,,,,,,,138
2015-05-10 14:09,AUDL,Raleigh Flyers,62,D,2,0,Offense,Catch,Carden J,Heath T,,,Willia E,Trett D,Heath T,Carden J,Barnha A,Gallin M,Strass F,,,,,,,,,,,,,,,,,,,,,,142
2015-05-10 14:09,AUDL,Raleigh Flyers,62,D,2,0,Offense,Goal,Heath T,Trett D,,,Willia E,Trett D,Heath T,Carden J,Barnha A,Gallin M,Strass F,,,,,,,,,,,,,,,,,,,,,,147
2015-05-10 14:09,AUDL,Raleigh Flyers,75,D,3,0,Defense,PullOb,,,Gallin M,,Hammon C,Heath T,Sansbu B,Waldro B,Bates J,Gallin M,Strass F,,,,,,,,,,,,,,,,,,,,,,214
2015-05-10 14:09,AUDL,Raleigh Flyers,75,D,3,0,Defense,Throwaway,,,Anonymous,,Hammon C,Heath T,Sansbu B,Waldro B,Bates J,Gallin M,Strass F,,,,,,,,,,,,,,,,,,,,,,263
2015-05-10 14:09,AUDL,Raleigh Flyers,75,D,3,0,Offense,Catch,Gallin M,Heath T,,,Hammon C,Heath T,Sansbu B,Waldro B,Bates J,Gallin M,Strass F,,,,,,,,,,,,,,,,,,,,,,273
2015-05-10 14:09,AUDL,Raleigh Flyers,75,D,3,0,Offense,Catch,Heath T,Waldro B,,,Hammon C,Heath T,Sansbu B,Waldro B,Bates J,Gallin M,Strass F,,,,,,,,,,,,,,,,,,,,,,281
2015-05-10 14:09,AUDL,Raleigh Flyers,75,D,3,0,Offense,Goal,Waldro B,Strass F,,,Hammon C,Heath T,Sansbu B,Waldro B,Bates J,Gallin M,Strass F,,,,,,,,,,,,,,,,,,,,,,287
2015-05-10 14:09,AUDL,Raleigh Flyers,30,D,3,1,Defense,Pull,,,Waldro B,5.124,Reed D,Willia E,Trett D,Waldro B,Carden J,Barnha A,Lally P,,,,,,,,,,,,,,,,,,,,,,342
2015-05-10 14:09,AUDL,Raleigh Flyers,30,D,3,1,Defense,Goal,,,Anonymous,,Reed D,Willia E,Trett D,Waldro B,Carden J,Barnha A,Lally P,,,,,,,,,,,,,,,,,,,,,,370
2015-05-10 14:09,AUDL,Raleigh Flyers,22,O,3,2,Offense,Catch,Conger T,Terry K,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,425
2015-05-10 14:09,AUDL,Raleigh Flyers,22,O,3,2,Offense,Throwaway,Terry K,Anonymous,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,433
2015-05-10 14:09,AUDL,Raleigh Flyers,22,O,3,2,Defense,Goal,,,Anonymous,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,445
2015-05-10 14:09,AUDL,Raleigh Flyers,120,O,4,2,Offense,Catch,Terry K,Conger T,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,501
2015-05-10 14:09,AUDL,Raleigh Flyers,120,O,4,2,Offense,Catch,Conger T,Hannon W,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,511
2015-05-10 14:09,AUDL,Raleigh Flyers,120,O,4,2,Offense,Catch,Hannon W,Radcli T,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,514
2015-05-10 14:09,AUDL,Raleigh Flyers,120,O,4,2,Offense,Catch,Radcli T,Ortiz J,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,517
2015-05-10 14:09,AUDL,Raleigh Flyers,120,O,4,2,Offense,Catch,Ortiz J,Terry K,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,520
2015-05-10 14:09,AUDL,Raleigh Flyers,120,O,4,2,Offense,Catch,Terry K,Hannon W,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,526
2015-05-10 14:09,AUDL,Raleigh Flyers,120,O,4,2,Offense,Catch,Hannon W,Conger T,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,529
2015-05-10 14:09,AUDL,Raleigh Flyers,120,O,4,2,Offense,Catch,Conger T,Ortiz J,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,532
2015-05-10 14:09,AUDL,Raleigh Flyers,120,O,4,2,Offense,Throwaway,Ortiz J,Anonymous,,,Terry K,Hannon W,Ortiz J,Dayton M,Lally P,Conger T,Radcli T,,,,,,,,,,,,,,,,,,,,,,537
