Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-05-30 18:07,AUDL,Jacksonville Cannons,19,O,1,0,Offense,Catch,Casey B,Snoke D,,,Snoke D,Bowen J,Tarasi D,Mitche T,Nether J,Dieter B,Casey B,,,,,,,,,,,,,,,,,,,,,,0
2015-05-30 18:07,AUDL,Jacksonville Cannons,19,O,1,0,Offense,Catch,Snoke D,Mitche T,,,Snoke D,Bowen J,Tarasi D,Mitche T,Nether J,Dieter B,Casey B,,,,,,,,,,,,,,,,,,,,,,9
2015-05-30 18:07,AUDL,Jacksonville Cannons,19,O,1,0,Offense,Catch,Mitche T,Dieter B,,,Snoke D,Bowen J,Tarasi D,Mitche T,Nether J,Dieter B,Casey B,,,,,,,,,,,,,,,,,,,,,,13
2015-05-30 18:07,AUDL,Jacksonville Cannons,19,O,1,0,Offense,Goal,Dieter B,Tarasi D,,,Snoke D,Bowen J,Tarasi D,Mitche T,Nether J,Dieter B,Casey B,,,,,,,,,,,,,,,,,,,,,,17
2015-05-30 18:07,AUDL,Jacksonville Cannons,6,D,1,1,Defense,Pull,,,Zhou M,6.778,Clark B,Matthe R,Hastin J,Zhou M,Colema J,Snell B,Moore M,,,,,,,,,,,,,,,,,,,,,,133
2015-05-30 18:07,AUDL,Jacksonville Cannons,6,D,1,1,Defense,Goal,,,Anonymous,,Clark B,Matthe R,Hastin J,Zhou M,Colema J,Snell B,Moore M,,,,,,,,,,,,,,,,,,,,,,137
2015-05-30 18:07,AUDL,Jacksonville Cannons,15,O,1,2,Offense,Catch,Nether J,Snoke D,,,Snoke D,Bowen J,Tarasi D,Mitche T,Nether J,Dieter B,Casey B,,,,,,,,,,,,,,,,,,,,,,384
2015-05-30 18:07,AUDL,Jacksonville Cannons,15,O,1,2,Offense,Drop,Snoke D,Tarasi D,,,Snoke D,Bowen J,Tarasi D,Mitche T,Nether J,Dieter B,Casey B,,,,,,,,,,,,,,,,,,,,,,393
2015-05-30 18:07,AUDL,Jacksonville Cannons,15,O,1,2,Defense,Goal,,,Anonymous,,Snoke D,Bowen J,Tarasi D,Mitche T,Nether J,Dieter B,Casey B,,,,,,,,,,,,,,,,,,,,,,397
2015-05-30 18:07,AUDL,Jacksonville Cannons,27,O,2,2,Offense,Catch,Casey B,Snoke D,,,Snoke D,Bowen J,Mitche T,Nether J,Dieter B,Casey B,Chandl D,,,,,,,,,,,,,,,,,,,,,,396
2015-05-30 18:07,AUDL,Jacksonville Cannons,27,O,2,2,Offense,Catch,Snoke D,Mitche T,,,Snoke D,Bowen J,Mitche T,Nether J,Dieter B,Casey B,Chandl D,,,,,,,,,,,,,,,,,,,,,,405
