Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-06-20 18:17,AUDL,Vancouver Riptide,49,D,0,1,Defense,Pull,,,Milard S,5.308,Goodma J,Clark B,Helms K,Milard S,Parisi M,Leggio D,Griffi W,,,,,,,,,,,,,,,,,,,,,,0
2015-06-20 18:17,AUDL,Vancouver Riptide,49,D,0,1,Defense,Goal,,,Anonymous,,Goodma J,Clark B,Helms K,Milard S,Parisi M,Leggio D,Griffi W,,,,,,,,,,,,,,,,,,,,,,47
2015-06-20 18:17,AUDL,Vancouver Riptide,84,O,1,1,Offense,Catch,Curtis A,Ackley J,,,Kirkla C,Mickle J,Lenta R,Cohen J,Parisi M,Ackley J,Curtis A,,,,,,,,,,,,,,,,,,,,,,111
2015-06-20 18:17,AUDL,Vancouver Riptide,84,O,1,1,Offense,Catch,Ackley J,Mickle J,,,Kirkla C,Mickle J,Lenta R,Cohen J,Parisi M,Ackley J,Curtis A,,,,,,,,,,,,,,,,,,,,,,120
2015-06-20 18:17,AUDL,Vancouver Riptide,84,O,1,1,Offense,Catch,Mickle J,Parisi M,,,Kirkla C,Mickle J,Lenta R,Cohen J,Parisi M,Ackley J,Curtis A,,,,,,,,,,,,,,,,,,,,,,125
2015-06-20 18:17,AUDL,Vancouver Riptide,84,O,1,1,Offense,Catch,Parisi M,Mickle J,,,Kirkla C,Mickle J,Lenta R,Cohen J,Parisi M,Ackley J,Curtis A,,,,,,,,,,,,,,,,,,,,,,130
2015-06-20 18:17,AUDL,Vancouver Riptide,84,O,1,1,Offense,Catch,Mickle J,Kirkla C,,,Kirkla C,Mickle J,Lenta R,Cohen J,Parisi M,Ackley J,Curtis A,,,,,,,,,,,,,,,,,,,,,,135
2015-06-20 18:17,AUDL,Vancouver Riptide,84,O,1,1,Offense,Throwaway,Kirkla C,Anonymous,,,Kirkla C,Mickle J,Lenta R,Cohen J,Parisi M,Ackley J,Curtis A,,,,,,,,,,,,,,,,,,,,,,142
2015-06-20 18:17,AUDL,Vancouver Riptide,84,O,1,1,Defense,D,,,Parisi M,,Kirkla C,Mickle J,Lenta R,Cohen J,Parisi M,Ackley J,Curtis A,,,,,,,,,,,,,,,,,,,,,,167
2015-06-20 18:17,AUDL,Vancouver Riptide,84,O,1,1,Offense,Catch,Parisi M,Curtis A,,,Kirkla C,Mickle J,Lenta R,Cohen J,Parisi M,Ackley J,Curtis A,,,,,,,,,,,,,,,,,,,,,,170
2015-06-20 18:17,AUDL,Vancouver Riptide,84,O,1,1,Offense,Catch,Curtis A,Mickle J,,,Kirkla C,Mickle J,Lenta R,Cohen J,Parisi M,Ackley J,Curtis A,,,,,,,,,,,,,,,,,,,,,,175
2015-06-20 18:17,AUDL,Vancouver Riptide,84,O,1,1,Offense,Catch,Mickle J,Cohen J,,,Kirkla C,Mickle J,Lenta R,Cohen J,Parisi M,Ackley J,Curtis A,,,,,,,,,,,,,,,,,,,,,,180
