Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,32,D,0,1,Defense,Pull,,,Jeffer J,7.964,Fein B,Yun J,Sugiok K,Madden B,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,0
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,32,D,0,1,Defense,Goal,,,Anonymous,,Fein B,Yun J,Sugiok K,Madden B,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,30
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,30,O,1,1,Offense,Catch,Janin E,Chialv F,,,Bouche E,Janin E,Nord A,Young L,Chialv F,Marlia G,Swink S,,,,,,,,,,,,,,,,,,,,,,89
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,30,O,1,1,Offense,Catch,Chialv F,Bouche E,,,Bouche E,Janin E,Nord A,Young L,Chialv F,Marlia G,Swink S,,,,,,,,,,,,,,,,,,,,,,97
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,30,O,1,1,Offense,Catch,Bouche E,Chialv F,,,Bouche E,Janin E,Nord A,Young L,Chialv F,Marlia G,Swink S,,,,,,,,,,,,,,,,,,,,,,101
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,30,O,1,1,Offense,Catch,Chialv F,Swink S,,,Bouche E,Janin E,Nord A,Young L,Chialv F,Marlia G,Swink S,,,,,,,,,,,,,,,,,,,,,,105
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,30,O,1,1,Offense,Catch,Swink S,Marlia G,,,Bouche E,Janin E,Nord A,Young L,Chialv F,Marlia G,Swink S,,,,,,,,,,,,,,,,,,,,,,109
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,30,O,1,1,Offense,Catch,Marlia G,Bouche E,,,Bouche E,Janin E,Nord A,Young L,Chialv F,Marlia G,Swink S,,,,,,,,,,,,,,,,,,,,,,113
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,30,O,1,1,Offense,Goal,Bouche E,Chialv F,,,Bouche E,Janin E,Nord A,Young L,Chialv F,Marlia G,Swink S,,,,,,,,,,,,,,,,,,,,,,117
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,38,D,1,2,Defense,Pull,,,Lang B,7.5,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,176
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,38,D,1,2,Defense,Goal,,,Anonymous,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,212
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,21,O,1,3,Offense,Catch,Kawaok R,Chialv F,,,Bouche E,Janin E,Nord A,Naruo D,Madden B,Chialv F,Kawaok R,,,,,,,,,,,,,,,,,,,,,,270
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,21,O,1,3,Offense,Throwaway,Chialv F,Anonymous,,,Bouche E,Janin E,Nord A,Naruo D,Madden B,Chialv F,Kawaok R,,,,,,,,,,,,,,,,,,,,,,285
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,21,O,1,3,Defense,Goal,,,Anonymous,,Bouche E,Janin E,Nord A,Naruo D,Madden B,Chialv F,Kawaok R,,,,,,,,,,,,,,,,,,,,,,289
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Dallma L,Jeffer J,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,344
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Jeffer J,Dallma L,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,352
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Dallma L,Jeffer J,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,356
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Jeffer J,Greenb J,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,360
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Greenb J,Lang B,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,364
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Lang B,Dallma L,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,368
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Dallma L,Yun J,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,372
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Throwaway,Yun J,Anonymous,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,376
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Defense,Throwaway,,,Anonymous,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,380
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Jeffer J,Dallma L,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,385
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Throwaway,Dallma L,Anonymous,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,393
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Defense,D,,,Fein B,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,440
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Jeffer J,Dallma L,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,452
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Dallma L,Miller C,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,455
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Miller C,Yun J,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,459
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Yun J,Lang B,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,462
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Lang B,Miller C,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,466
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Miller C,Lang B,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,470
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Lang B,Miller C,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,474
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Miller C,Jeffer J,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,478
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Jeffer J,Miller C,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,482
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Catch,Miller C,Lang B,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,486
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,148,O,2,3,Offense,Goal,Lang B,Jeffer J,,,Fein B,Lang B,Yun J,Greenb J,Miller C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,490
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,78,D,3,3,Defense,PullOb,,,Chialv F,,Bouche E,Naruo D,Madden B,Chialv F,Marlia G,Swink S,Kawaok R,,,,,,,,,,,,,,,,,,,,,,546
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,78,D,3,3,Defense,Throwaway,,,Anonymous,,Bouche E,Naruo D,Madden B,Chialv F,Marlia G,Swink S,Kawaok R,,,,,,,,,,,,,,,,,,,,,,575
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,78,D,3,3,Offense,Catch,Chialv F,Swink S,,,Bouche E,Naruo D,Madden B,Chialv F,Marlia G,Swink S,Kawaok R,,,,,,,,,,,,,,,,,,,,,,593
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,78,D,3,3,Offense,Catch,Swink S,Bouche E,,,Bouche E,Naruo D,Madden B,Chialv F,Marlia G,Swink S,Kawaok R,,,,,,,,,,,,,,,,,,,,,,596
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,78,D,3,3,Offense,Catch,Bouche E,Swink S,,,Bouche E,Naruo D,Madden B,Chialv F,Marlia G,Swink S,Kawaok R,,,,,,,,,,,,,,,,,,,,,,602
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,78,D,3,3,Offense,Catch,Swink S,Madden B,,,Bouche E,Naruo D,Madden B,Chialv F,Marlia G,Swink S,Kawaok R,,,,,,,,,,,,,,,,,,,,,,606
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,78,D,3,3,Offense,Catch,Madden B,Chialv F,,,Bouche E,Naruo D,Madden B,Chialv F,Marlia G,Swink S,Kawaok R,,,,,,,,,,,,,,,,,,,,,,614
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,78,D,3,3,Offense,Catch,Chialv F,Marlia G,,,Bouche E,Naruo D,Madden B,Chialv F,Marlia G,Swink S,Kawaok R,,,,,,,,,,,,,,,,,,,,,,618
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,78,D,3,3,Offense,Goal,Marlia G,Bouche E,,,Bouche E,Naruo D,Madden B,Chialv F,Marlia G,Swink S,Kawaok R,,,,,,,,,,,,,,,,,,,,,,622
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,24,D,3,4,Defense,Pull,,,Jeffer J,6.45,Lang B,Sugiok K,Greenb J,Miller C,Ikeda C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,698
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,24,D,3,4,Defense,Goal,,,Anonymous,,Lang B,Sugiok K,Greenb J,Miller C,Ikeda C,Jeffer J,Dallma L,,,,,,,,,,,,,,,,,,,,,,720
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,98,O,4,4,Offense,Catch,Janin E,Chialv F,,,Janin E,Nord A,Young L,Naruo D,Madden B,Chialv F,Swink S,,,,,,,,,,,,,,,,,,,,,,771
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,98,O,4,4,Offense,Catch,Chialv F,Swink S,,,Janin E,Nord A,Young L,Naruo D,Madden B,Chialv F,Swink S,,,,,,,,,,,,,,,,,,,,,,780
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,98,O,4,4,Offense,Catch,Swink S,Chialv F,,,Janin E,Nord A,Young L,Naruo D,Madden B,Chialv F,Swink S,,,,,,,,,,,,,,,,,,,,,,784
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,98,O,4,4,Offense,Throwaway,Chialv F,Anonymous,,,Janin E,Nord A,Young L,Naruo D,Madden B,Chialv F,Swink S,,,,,,,,,,,,,,,,,,,,,,788
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,98,O,4,4,Defense,Throwaway,,,Anonymous,,Janin E,Nord A,Young L,Naruo D,Madden B,Chialv F,Swink S,,,,,,,,,,,,,,,,,,,,,,836
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,98,O,4,4,Offense,Catch,Janin E,Naruo D,,,Janin E,Nord A,Young L,Naruo D,Madden B,Chialv F,Swink S,,,,,,,,,,,,,,,,,,,,,,847
2015-07-18 17:15,AUDL West 2015,San Jose Spiders,98,O,4,4,Offense,Catch,Naruo D,Janin E,,,Janin E,Nord A,Young L,Naruo D,Madden B,Chialv F,Swink S,,,,,,,,,,,,,,,,,,,,,,851
