Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-05-03 13:36,AUDL,Los Angeles Aviators,51,O,1,0,Offense,OpponentPull,Anonymous,Anonymous,,,Rasmus C,Sanche M,Wynne R,Kittre B,Higgin S,Smith K,Johnso C,,,,,,,,,,,,,,,,,,,,,,0
2015-05-03 13:36,AUDL,Los Angeles Aviators,51,O,1,0,Offense,Catch,Rasmus C,Wynne R,,,Rasmus C,Sanche M,Wynne R,Kittre B,Higgin S,Smith K,Johnso C,,,,,,,,,,,,,,,,,,,,,,9
2015-05-03 13:36,AUDL,Los Angeles Aviators,51,O,1,0,Offense,Catch,Wynne R,Rasmus C,,,Rasmus C,Sanche M,Wynne R,Kittre B,Higgin S,Smith K,Johnso C,,,,,,,,,,,,,,,,,,,,,,13
2015-05-03 13:36,AUDL,Los Angeles Aviators,51,O,1,0,Offense,Catch,Rasmus C,Wynne R,,,Rasmus C,Sanche M,Wynne R,Kittre B,Higgin S,Smith K,Johnso C,,,,,,,,,,,,,,,,,,,,,,17
2015-05-03 13:36,AUDL,Los Angeles Aviators,51,O,1,0,Offense,Catch,Wynne R,Sanche M,,,Rasmus C,Sanche M,Wynne R,Kittre B,Higgin S,Smith K,Johnso C,,,,,,,,,,,,,,,,,,,,,,21
2015-05-03 13:36,AUDL,Los Angeles Aviators,51,O,1,0,Offense,Catch,Sanche M,Higgin S,,,Rasmus C,Sanche M,Wynne R,Kittre B,Higgin S,Smith K,Johnso C,,,,,,,,,,,,,,,,,,,,,,25
2015-05-03 13:36,AUDL,Los Angeles Aviators,51,O,1,0,Offense,Catch,Higgin S,Kittre B,,,Rasmus C,Sanche M,Wynne R,Kittre B,Higgin S,Smith K,Johnso C,,,,,,,,,,,,,,,,,,,,,,29
2015-05-03 13:36,AUDL,Los Angeles Aviators,51,O,1,0,Offense,Catch,Kittre B,Higgin S,,,Rasmus C,Sanche M,Wynne R,Kittre B,Higgin S,Smith K,Johnso C,,,,,,,,,,,,,,,,,,,,,,33
2015-05-03 13:36,AUDL,Los Angeles Aviators,51,O,1,0,Offense,Catch,Higgin S,Rasmus C,,,Rasmus C,Sanche M,Wynne R,Kittre B,Higgin S,Smith K,Johnso C,,,,,,,,,,,,,,,,,,,,,,37
2015-05-03 13:36,AUDL,Los Angeles Aviators,51,O,1,0,Offense,Catch,Rasmus C,Kittre B,,,Rasmus C,Sanche M,Wynne R,Kittre B,Higgin S,Smith K,Johnso C,,,,,,,,,,,,,,,,,,,,,,41
2015-05-03 13:36,AUDL,Los Angeles Aviators,51,O,1,0,Offense,Catch,Kittre B,Higgin S,,,Rasmus C,Sanche M,Wynne R,Kittre B,Higgin S,Smith K,Johnso C,,,,,,,,,,,,,,,,,,,,,,45
2015-05-03 13:36,AUDL,Los Angeles Aviators,51,O,1,0,Offense,Goal,Higgin S,Wynne R,,,Rasmus C,Sanche M,Wynne R,Kittre B,Higgin S,Smith K,Johnso C,,,,,,,,,,,,,,,,,,,,,,49
2015-05-03 13:36,AUDL,Los Angeles Aviators,58,D,2,0,Defense,Pull,,,Rasmus C,,Rasmus C,Jaffe M,Peters B,Falat E,Kittre B,Cocks K,Johnso C,,,,,,,,,,,,,,,,,,,,,,109
2015-05-03 13:36,AUDL,Los Angeles Aviators,58,D,2,0,Defense,Throwaway,,,Anonymous,,Rasmus C,Jaffe M,Peters B,Falat E,Kittre B,Cocks K,Johnso C,,,,,,,,,,,,,,,,,,,,,,118
2015-05-03 13:36,AUDL,Los Angeles Aviators,58,D,2,0,Offense,Catch,Rasmus C,Kittre B,,,Rasmus C,Jaffe M,Peters B,Falat E,Kittre B,Cocks K,Johnso C,,,,,,,,,,,,,,,,,,,,,,141
2015-05-03 13:36,AUDL,Los Angeles Aviators,58,D,2,0,Offense,Catch,Kittre B,Cocks K,,,Rasmus C,Jaffe M,Peters B,Falat E,Kittre B,Cocks K,Johnso C,,,,,,,,,,,,,,,,,,,,,,145
2015-05-03 13:36,AUDL,Los Angeles Aviators,58,D,2,0,Offense,Catch,Cocks K,Johnso C,,,Rasmus C,Jaffe M,Peters B,Falat E,Kittre B,Cocks K,Johnso C,,,,,,,,,,,,,,,,,,,,,,149
2015-05-03 13:36,AUDL,Los Angeles Aviators,58,D,2,0,Offense,Catch,Johnso C,Cocks K,,,Rasmus C,Jaffe M,Peters B,Falat E,Kittre B,Cocks K,Johnso C,,,,,,,,,,,,,,,,,,,,,,153
2015-05-03 13:36,AUDL,Los Angeles Aviators,58,D,2,0,Offense,Catch,Cocks K,Rasmus C,,,Rasmus C,Jaffe M,Peters B,Falat E,Kittre B,Cocks K,Johnso C,,,,,,,,,,,,,,,,,,,,,,157
2015-05-03 13:36,AUDL,Los Angeles Aviators,58,D,2,0,Offense,Catch,Rasmus C,Johnso C,,,Rasmus C,Jaffe M,Peters B,Falat E,Kittre B,Cocks K,Johnso C,,,,,,,,,,,,,,,,,,,,,,161
2015-05-03 13:36,AUDL,Los Angeles Aviators,58,D,2,0,Offense,Goal,Johnso C,Kittre B,,,Rasmus C,Jaffe M,Peters B,Falat E,Kittre B,Cocks K,Johnso C,,,,,,,,,,,,,,,,,,,,,,165
2015-05-03 13:36,AUDL,Los Angeles Aviators,85,D,3,0,Defense,PullOb,,,Cohen G,,Dillow L,Marcy J,Farina C,Crawfo M,Cohen G,Natali M,Ham S,,,,,,,,,,,,,,,,,,,,,,222
2015-05-03 13:36,AUDL,Los Angeles Aviators,85,D,3,0,Defense,D,,,Ham S,,Dillow L,Marcy J,Farina C,Crawfo M,Cohen G,Natali M,Ham S,,,,,,,,,,,,,,,,,,,,,,272
2015-05-03 13:36,AUDL,Los Angeles Aviators,85,D,3,0,Offense,Catch,Ham S,Natali M,,,Dillow L,Marcy J,Farina C,Crawfo M,Cohen G,Natali M,Ham S,,,,,,,,,,,,,,,,,,,,,,277
2015-05-03 13:36,AUDL,Los Angeles Aviators,85,D,3,0,Offense,Catch,Natali M,Marcy J,,,Dillow L,Marcy J,Farina C,Crawfo M,Cohen G,Natali M,Ham S,,,,,,,,,,,,,,,,,,,,,,281
2015-05-03 13:36,AUDL,Los Angeles Aviators,85,D,3,0,Offense,Catch,Marcy J,Dillow L,,,Dillow L,Marcy J,Farina C,Crawfo M,Cohen G,Natali M,Ham S,,,,,,,,,,,,,,,,,,,,,,285
2015-05-03 13:36,AUDL,Los Angeles Aviators,85,D,3,0,Offense,Catch,Dillow L,Crawfo M,,,Dillow L,Marcy J,Farina C,Crawfo M,Cohen G,Natali M,Ham S,,,,,,,,,,,,,,,,,,,,,,289
2015-05-03 13:36,AUDL,Los Angeles Aviators,85,D,3,0,Offense,Catch,Crawfo M,Marcy J,,,Dillow L,Marcy J,Farina C,Crawfo M,Cohen G,Natali M,Ham S,,,,,,,,,,,,,,,,,,,,,,293
2015-05-03 13:36,AUDL,Los Angeles Aviators,85,D,3,0,Offense,Catch,Marcy J,Crawfo M,,,Dillow L,Marcy J,Farina C,Crawfo M,Cohen G,Natali M,Ham S,,,,,,,,,,,,,,,,,,,,,,297
