Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-05-09 19:38,Audl,San Diego Growlers,60,D,0,1,Defense,Pull,,,Koss R,6.333,Clark D,Harkne S,Simfox B,Rosatt T,Zukows G,Hart S,Koss R,,,,,,,,,,,,,,,,,,,,,,0
2015-05-09 19:38,Audl,San Diego Growlers,60,D,0,1,Defense,Goal,,,Anonymous,,Clark D,Harkne S,Simfox B,Rosatt T,Zukows G,Hart S,Koss R,,,,,,,,,,,,,,,,,,,,,,58
2015-05-09 19:38,Audl,San Diego Growlers,11,O,1,1,Offense,Catch,Rehder M,Lenon A,,,Rehder M,Kinley T,Wallis S,Benalo S,Lenon A,Murray P,Sefton J,,,,,,,,,,,,,,,,,,,,,,150
2015-05-09 19:38,Audl,San Diego Growlers,11,O,1,1,Offense,Goal,Lenon A,Sefton J,,,Rehder M,Kinley T,Wallis S,Benalo S,Lenon A,Murray P,Sefton J,,,,,,,,,,,,,,,,,,,,,,159
2015-05-09 19:38,Audl,San Diego Growlers,96,D,2,1,Defense,Pull,,,Hausma J,7.6,Linn D,Simon A,Simfox B,Rosatt T,Hausma J,Hart S,Stacey J,,,,,,,,,,,,,,,,,,,,,,230
2015-05-09 19:38,Audl,San Diego Growlers,96,D,2,1,Defense,Throwaway,,,Anonymous,,Linn D,Simon A,Simfox B,Rosatt T,Hausma J,Hart S,Stacey J,,,,,,,,,,,,,,,,,,,,,,304
2015-05-09 19:38,Audl,San Diego Growlers,96,D,2,1,Offense,Catch,Simfox B,Hausma J,,,Linn D,Simon A,Simfox B,Rosatt T,Hausma J,Hart S,Stacey J,,,,,,,,,,,,,,,,,,,,,,314
2015-05-09 19:38,Audl,San Diego Growlers,96,D,2,1,Offense,Catch,Hausma J,Stacey J,,,Linn D,Simon A,Simfox B,Rosatt T,Hausma J,Hart S,Stacey J,,,,,,,,,,,,,,,,,,,,,,321
2015-05-09 19:38,Audl,San Diego Growlers,96,D,2,1,Offense,Goal,Stacey J,Rosatt T,,,Linn D,Simon A,Simfox B,Rosatt T,Hausma J,Hart S,Stacey J,,,,,,,,,,,,,,,,,,,,,,324
2015-05-09 19:38,Audl,San Diego Growlers,209,D,2,2,Defense,Pull,,,Koss R,5.249,Linn D,Clark D,Simon A,Cavana M,Zukows G,Hart S,Koss R,,,,,,,,,,,,,,,,,,,,,,401
2015-05-09 19:38,Audl,San Diego Growlers,209,D,2,2,Defense,D,,,Koss R,,Linn D,Clark D,Simon A,Cavana M,Zukows G,Hart S,Koss R,,,,,,,,,,,,,,,,,,,,,,425
2015-05-09 19:38,Audl,San Diego Growlers,209,D,2,2,Offense,Catch,Simon A,Koss R,,,Linn D,Clark D,Simon A,Cavana M,Zukows G,Hart S,Koss R,,,,,,,,,,,,,,,,,,,,,,454
2015-05-09 19:38,Audl,San Diego Growlers,209,D,2,2,Offense,Catch,Koss R,Zukows G,,,Linn D,Clark D,Simon A,Cavana M,Zukows G,Hart S,Koss R,,,,,,,,,,,,,,,,,,,,,,457
2015-05-09 19:38,Audl,San Diego Growlers,209,D,2,2,Offense,Catch,Zukows G,Koss R,,,Linn D,Clark D,Simon A,Cavana M,Zukows G,Hart S,Koss R,,,,,,,,,,,,,,,,,,,,,,460
2015-05-09 19:38,Audl,San Diego Growlers,209,D,2,2,Offense,Catch,Koss R,Clark D,,,Linn D,Clark D,Simon A,Cavana M,Zukows G,Hart S,Koss R,,,,,,,,,,,,,,,,,,,,,,574
