Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Catch,Norris J,Lore K,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,0
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Catch,Lore K,Underh K,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,9
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Catch,Underh K,Lore K,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,13
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Catch,Lore K,Underh K,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,17
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Drop,Underh K,Chatha G,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,27
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Defense,D,,,Underh K,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,30
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Catch,Underh K,Norris J,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,35
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Catch,Norris J,Chatha G,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,39
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Catch,Chatha G,Norris J,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,43
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Catch,Norris J,Underh K,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,47
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Catch,Underh K,Norris J,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,51
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Catch,Norris J,Guo E,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,54
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Catch,Lore K,Norris J,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,58
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Catch,Norris J,Fenton D,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,62
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Catch,Fenton D,Norris J,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,65
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Catch,Norris J,Lore K,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,70
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Catch,Lore K,Norris J,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,74
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Offense,Throwaway,Norris J,Anonymous,,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,78
2015-05-10 13:02,AUDL,San Diego Growlers,106,O,0,1,Defense,Goal,,,Anonymous,,Chatha G,Guo E,Norris J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,104
2015-05-10 13:02,AUDL,San Diego Growlers,52,O,1,1,Offense,Catch,Bellav J,Underh K,,,Chatha G,Guo E,Bellav J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,150
2015-05-10 13:02,AUDL,San Diego Growlers,52,O,1,1,Offense,Catch,Underh K,Bellav J,,,Chatha G,Guo E,Bellav J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,158
2015-05-10 13:02,AUDL,San Diego Growlers,52,O,1,1,Offense,Catch,Bellav J,Underh K,,,Chatha G,Guo E,Bellav J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,162
2015-05-10 13:02,AUDL,San Diego Growlers,52,O,1,1,Offense,Catch,Underh K,Guo E,,,Chatha G,Guo E,Bellav J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,165
2015-05-10 13:02,AUDL,San Diego Growlers,52,O,1,1,Offense,Catch,Guo E,Underh K,,,Chatha G,Guo E,Bellav J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,168
2015-05-10 13:02,AUDL,San Diego Growlers,52,O,1,1,Offense,Catch,Underh K,Bellav J,,,Chatha G,Guo E,Bellav J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,172
2015-05-10 13:02,AUDL,San Diego Growlers,52,O,1,1,Offense,Catch,Bellav J,Guo E,,,Chatha G,Guo E,Bellav J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,176
2015-05-10 13:02,AUDL,San Diego Growlers,52,O,1,1,Offense,Catch,Guo E,Chatha G,,,Chatha G,Guo E,Bellav J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,179
2015-05-10 13:02,AUDL,San Diego Growlers,52,O,1,1,Offense,Catch,Chatha G,Bellav J,,,Chatha G,Guo E,Bellav J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,184
2015-05-10 13:02,AUDL,San Diego Growlers,52,O,1,1,Offense,Catch,Bellav J,Underh K,,,Chatha G,Guo E,Bellav J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,187
2015-05-10 13:02,AUDL,San Diego Growlers,52,O,1,1,Offense,Catch,Underh K,Bellav J,,,Chatha G,Guo E,Bellav J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,194
2015-05-10 13:02,AUDL,San Diego Growlers,52,O,1,1,Offense,Goal,Bellav J,Wu D,,,Chatha G,Guo E,Bellav J,Underh K,Lore K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,200
2015-05-10 13:02,AUDL,San Diego Growlers,12,D,1,2,Defense,Pull,,,Sincla M,5.22,Tam R,Tsang T,Lee R,Sincla M,Leduc M,Bryson M,Anders B,,,,,,,,,,,,,,,,,,,,,,258
2015-05-10 13:02,AUDL,San Diego Growlers,12,D,1,2,Defense,Goal,,,Anonymous,,Tam R,Tsang T,Lee R,Sincla M,Leduc M,Bryson M,Anders B,,,,,,,,,,,,,,,,,,,,,,268
2015-05-10 13:02,AUDL,San Diego Growlers,34,O,2,2,Offense,Catch,Underh K,Norris J,,,Chatha G,Guo E,Bellav J,Norris J,Underh K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,319
2015-05-10 13:02,AUDL,San Diego Growlers,34,O,2,2,Offense,Catch,Norris J,Underh K,,,Chatha G,Guo E,Bellav J,Norris J,Underh K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,327
2015-05-10 13:02,AUDL,San Diego Growlers,34,O,2,2,Offense,Catch,Underh K,Bellav J,,,Chatha G,Guo E,Bellav J,Norris J,Underh K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,331
2015-05-10 13:02,AUDL,San Diego Growlers,34,O,2,2,Offense,Catch,Bellav J,Norris J,,,Chatha G,Guo E,Bellav J,Norris J,Underh K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,335
2015-05-10 13:02,AUDL,San Diego Growlers,34,O,2,2,Offense,Catch,Norris J,Chatha G,,,Chatha G,Guo E,Bellav J,Norris J,Underh K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,339
2015-05-10 13:02,AUDL,San Diego Growlers,34,O,2,2,Offense,Catch,Chatha G,Wu D,,,Chatha G,Guo E,Bellav J,Norris J,Underh K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,343
2015-05-10 13:02,AUDL,San Diego Growlers,34,O,2,2,Offense,Catch,Wu D,Fenton D,,,Chatha G,Guo E,Bellav J,Norris J,Underh K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,347
2015-05-10 13:02,AUDL,San Diego Growlers,34,O,2,2,Offense,Goal,Fenton D,Wu D,,,Chatha G,Guo E,Bellav J,Norris J,Underh K,Wu D,Fenton D,,,,,,,,,,,,,,,,,,,,,,351
2015-05-10 13:02,AUDL,San Diego Growlers,36,D,2,3,Defense,Pull,,,Hunter M,5.716,Dozzi M,Tam R,Lam F,Sun R,Davis A,Hunter M,Bryson M,,,,,,,,,,,,,,,,,,,,,,402
2015-05-10 13:02,AUDL,San Diego Growlers,36,D,2,3,Defense,Goal,,,Anonymous,,Dozzi M,Tam R,Lam F,Sun R,Davis A,Hunter M,Bryson M,,,,,,,,,,,,,,,,,,,,,,436
2015-05-10 13:02,AUDL,San Diego Growlers,84,O,3,3,Offense,Catch,Underh K,Bellav J,,,Chatha G,Guo E,Bellav J,Norris J,Underh K,Leduc M,Fenton D,,,,,,,,,,,,,,,,,,,,,,494
2015-05-10 13:02,AUDL,San Diego Growlers,84,O,3,3,Offense,Catch,Bellav J,Underh K,,,Chatha G,Guo E,Bellav J,Norris J,Underh K,Leduc M,Fenton D,,,,,,,,,,,,,,,,,,,,,,504
2015-05-10 13:02,AUDL,San Diego Growlers,84,O,3,3,Offense,Catch,Underh K,Leduc M,,,Chatha G,Guo E,Bellav J,Norris J,Underh K,Leduc M,Fenton D,,,,,,,,,,,,,,,,,,,,,,508
