,team,goals,assists,ds,throwaways,drops,opoints,dpoints,totalpoints,pct_opoints,pct_goal,pct_assist,pct_d,goal_percentile,assist_percentile,cluster
Beards E,,72,8,13,2,11,292,88,380,0.768421052632,0.189473684211,0.0210526315789,0.0342105263158,0.978120978121,0.192406692407,d_cutter
Kittre B,,68,37,26,23,3,263,153,416,0.632211538462,0.163461538462,0.0889423076923,0.0625,0.954954954955,0.777348777349,o_cutter
Matt S,,66,17,3,3,6,240,29,269,0.89219330855,0.245353159851,0.0631970260223,0.0111524163569,0.997425997426,0.619047619048,o_cutter
Vatz D,,62,9,4,7,8,242,47,289,0.837370242215,0.214532871972,0.0311418685121,0.0138408304498,0.98712998713,0.299871299871,o_cutter
Allen J,,62,60,14,35,5,299,119,418,0.715311004785,0.148325358852,0.143540669856,0.0334928229665,0.934362934363,0.934362934363,o_cutter
Bowen J,,62,49,7,27,10,288,50,338,0.852071005917,0.183431952663,0.144970414201,0.0207100591716,0.975546975547,0.936936936937,o_cutter
Freystae,,60,36,10,12,9,222,58,280,0.792857142857,0.214285714286,0.128571428571,0.0357142857143,0.985842985843,0.901544401544,o_cutter
Brock C,,60,37,8,27,6,244,25,269,0.907063197026,0.223048327138,0.137546468401,0.0297397769517,0.989703989704,0.921492921493,o_cutter
Masek Ke,,55,57,26,29,8,286,72,358,0.798882681564,0.153631284916,0.159217877095,0.072625698324,0.940797940798,0.965250965251,o_cutter
Armitage,,53,7,8,5,8,156,65,221,0.705882352941,0.239819004525,0.0316742081448,0.0361990950226,0.994851994852,0.307593307593,o_cutter
Schoen B,,51,20,20,7,2,141,117,258,0.546511627907,0.197674418605,0.077519379845,0.077519379845,0.981981981982,0.70398970399,o_cutter
Ham S,,51,9,2,5,4,171,96,267,0.640449438202,0.191011235955,0.0337078651685,0.00749063670412,0.979407979408,0.326254826255,d_cutter
Lally P,,50,36,10,17,4,255,43,298,0.855704697987,0.167785234899,0.120805369128,0.0335570469799,0.956241956242,0.882882882883,o_cutter
Chatha G,,48,30,12,15,8,217,62,279,0.777777777778,0.172043010753,0.10752688172,0.0430107526882,0.967824967825,0.854568854569,o_cutter
Harris C,,48,47,15,24,9,244,84,328,0.743902439024,0.146341463415,0.143292682927,0.0457317073171,0.930501930502,0.933075933076,o_cutter
Watson A,,48,31,10,14,4,254,72,326,0.779141104294,0.147239263804,0.0950920245399,0.0306748466258,0.931788931789,0.800514800515,o_cutter
Yoland C,,47,48,12,26,8,228,101,329,0.693009118541,0.142857142857,0.145896656535,0.0364741641337,0.925353925354,0.938223938224,o_cutter
