site_name,full_name,team
A Drews,Adam Drews,Madison
A Mesh,Andrew Meshnick,Madison
S Meyer,Seth Meyer,Madison
P Shriwi,Pat Shriwise,Madison
J Froude,Jay Froude ,Madison
B Ever,Bill Everhart,Madison
Animal,Tom Annen,Madison
B Keren,Benjy Keren,Madison
Jdub,Joshua Wilson ,Madison
D Schlei,David Schleicher,Madison
A Brown,Andrew Brown,Madison
S Rich,Scott Richgels,Madison
B Hart,Brian Hart,Madison
M Weber,Matt Weber,Madison
C Wilen,Chris Wilen ,Madison
K Garner,Keith Garner,Madison
Buddy,David Meinecke ,Madison
D Wise,Dave Wiseman,Madison
Dirty,Dan Rowan ,Madison
P Graffy,Peter Graffy,Madison
M Swain,Mike Swain,Madison
N Thib,Nate Thibedeau,Madison
C Camp,Colin Camp ,Madison
J Spiro,Jacob Spiro,Madison
B Taitt,Brandon Tait,Madison
J Sculli,Jadon Scullion,Madison
Cooli,Thomas Coolidge,Madison
K Alex,Kelsen Alexander,Madison
B Nelson,Ben Nelson,Madison
T Debyl,Tim Debyl,Madison
KPS,Kevin Pettit-Scantling,Madison
N Volk,Nate Volkman,Madison
K Brown,Kevin Brown,Madison
Dustin Rooffener,Dustin Rooffener,Minnesota
Cole Jensen,Cole Jensen,Minnesota
Liam Shramko,Liam Shramko,Minnesota
Pat Niles,Pat Niles,Minnesota
Ben Jagt,Ben Jagt,Minnesota
Jon Kramer,Jon Kramer,Minnesota
Rasmussen Ethan,Ethan Rasmussen,Minnesota
Zac Merie,Zac Merie,Minnesota
David Shirley,David Shirley ,Minnesota
Gregory Arenson,Greg Arenson,Minnesota
Jay Drescher,Jay Drescher,Minnesota
Rob Johnson,Rob Johnson,Minnesota
Sean Newlin,Sean Newlin,Minnesota
Jacob Lien,Jacob Lien,Minnesota
Austin Lien,Austin Lien,Minnesota
David Wenzel,David Wenzel,Minnesota
Brian Schoenrock,Brian Schoenrock,Minnesota
Michael Jordan,Michael Jordan,Minnesota
Pete Carr,Pete Carr,Minnesota
Neal Hanke,Neal Hanke,Minnesota
Jesse Bolton,Jesse Bolton,Minnesota
Dan Hunt,Dan Hunt,Minnesota
Mike Petersen,Mike Petersen,Minnesota
Caball L,Luis Caballero,Minnesota
Tristan Grovender,Tristan Grovender,Minnesota
Abramo L,Abramo L,Minnesota
Heid N,Nick Heid,Minnesota
Brett Sullivan,Brett Sullivan,Minnesota
Tony Poletto,Tony Poletto,Minnesota
Collom D,Danny Collom,Minnesota
Nihal Bhakta,Nihal Bhakta,Minnesota
James Kittlesen,Jimmy Kittlesen,Minnesota
John Groess,John Groess,Minnesota
Peter Schmitt,Peter Schmitt,Minnesota
Brandon Matis,Brandon Matis,Minnesota
A-K Ian,Ian Andre-Knudsen,Minnesota
Ethan Levine,Ethan Levine,Minnesota
Josef Van Kan,Josef Van Kan,Minnesota
Carlos Wolle,Carlos Wolle,Minnesota
Austin Lee,Austin Lee,Minnesota
Patrick Cashman,Patrick Cashman,Minnesota
Sam Reis,Sam Reis,Minnesota
Samuel Reis,Sam Reis,Minnesota
Charlie Schuweiler,Charlie Schuweiler,Minnesota
Cashma P,Cashma P,Minnesota
Kiyoi M,Michael Kiyoi,Los Angeles
Oettin D,Dan Oettinger,Los Angeles
Forbes J,Joe Forbes,Los Angeles
Bellin D,Dan Bellinger,Los Angeles
Johns C,Cody Johns,Los Angeles
Melo E,Ed Melo,Los Angeles
Elboge M,Mark Elbogen,Los Angeles
Carneg H,Husayn Carnegie,Los Angeles
McDoug S,Sean McDougall,Los Angeles
Chiles I,Ian Chiles,Los Angeles
Nguyen B,Bryan Nguyen,Los Angeles
