audl_name,full_name,team
Pannon M,Mike Pannone,Pittsburgh
Lally P,Paul Lally,Nashville
Bryant D,Bryant Dean,DC
Baumer J,Jacob Baumer,Los Angeles
Leo P,Leo Pepper,DC
Wynne R,Russell Wynne,San Jose
Mott S,Sean Mott,Philadelphia
K Brown,Kevin Brown,Madison
Glenn P,Glenn Poole,DC
Mickle J,Jimmy Mickle,San Diego
Haser N,Nick Haser,Pittsburgh
Carrol K,Kegan Carroll,Cincinnati
Lance N,Nick Lance,San Diego
Roca A,Andrew Roca,Jacksonville
Matt K,Matt Kerrigan,DC
Nord A,Alex Nord,San Francisco
Lissne E,Eric Lissner,Los Angeles
Mogiel S,Steve Mogielski,Pittsburgh
Carneg H,Husayn Carnegie,Los Angeles
Cohen G,Greg Cohen,San Jose
Larocque,Chris LaRocque,Jacksonville
Armitage,Steve Armitage,Toronto
S Rich,Scott Richgels,Madison
David B,David Berg,DC
Purdy T,Trevor Purdy,San Diego
Bob,Bob Liu,Chicago
Bellin D,Dan Bellinger,Los Angeles
Allen T,Tom Allen,Philadelphia
Higgin S,Simon Higgins,San Jose
Silver J,Jeff Silverman,Los Angeles
Plew K,Keenan Plew,Indianapolis
North K,Keegan North,Cincinnati
Kinley T,Tyler Kinley,Seattle
Gardne M,Mason Gardner,Charlotte
JanssenD,David Janssen,Ottawa
Rehder M,Matt Rehder,Seattle
Jarnai B,Jarnail Bajwa,DC
B. Moore,BRIAN MOORE,Atlanta
Hood M,Micah Hood,Charlotte
Wu C,Casey Wu,San Diego
Barnha A,Andy Barnhart,Nashville
Lloyd M.,Mark Lloyd,Toronto
T Debyl,Tim Debyl,Madison
Thorne A,Alex Thorne,Pittsburgh
Bolton J,Jesse Bolton,Minnesota
Matt S,Matt Smith,Atlanta
Grand C,Colin Grandon,Cincinnati
Misleh G,Gus Misleh,Cincinnati
Peters B,Brett Petersen,San Jose
Kittre B,Beau Kittredge,San Jose
AlexandD,Derek Alexander,Ottawa
B Hart,Brian Hart,Madison
Gross R,Rick Gross,Indianapolis
Norden J,Justin Norden,San Jose
Anthon M,Anthony Mclean,DC
P Shriwi,Pat Shriwise,Madison
Jordan M,Michael Jordan,Minnesota
Masek Ke,Isaiah Masek Kelly,Toronto
Colicc C,CJ Colicchio,Raleigh
J Clark,JAY CLARK,Atlanta
Milard S,Steven Milardovich,San Diego
Alex J,AJ Jacoski,DC
Sanche M,Marcelo Sanchez,San Jose
Allen J,Justin Allen,Raleigh
Cecil J,John Cecil,Indianapolis
Janin E,Eli Janin,San Francisco
Andrew A,Andrew Allen,DC
Wolle C,Carlos Wolle,Minnesota
Wu D,Darren Wu,Vancouver
Guerre X,Xtian Guerrero,San Jose
Moore J,Josh Moore,Nashville
Gibson K,Kurt Gibson,San Diego
Poulos,Stephen Poulos,Jacksonville
Lindquis,Jeff Lindquist,Toronto
Jessi J,Jessi Jones,Raleigh
AntoineG,Antoine Genest,Montreal
Goodma J,Justin Goodman,San Diego
Joye A,Ashlin Joye,San Jose
Naruo D,Daniel Naruo,San Francisco
Marsh J,Jack Marsh,New York
Tarasi D,Dennis Tarasi,Raleigh
Smith K,Kevin Smith,San Jose
Brodie,Brodie Smith   ,Chicago
Fox E,Ed Fox,Charlotte
Rankin Z,Zane Rankin,Seattle
Jeffer I,Isaac Jeffries,Cincinnati
Freystae,Mischa Freystaetter,Jacksonville
Wetzel N,Nick Wetzel   ,Cincinnati
Underh K,Kevin Underhill,Vancouver
AJ,AJ Nelson   ,Chicago
GregM,Greg Moore,Montreal
Robert A,Aaron Roberts,Philadelphia
Van Ar K,Kelly Van Arsdale,San Jose
Ward R,Ross Ward,New York
DeGiro T,Tyler DeGirolamo,Pittsburgh
Bode M,Matt Bode,Jacksonville
Porter K,Ken Porter,Charlotte
Nordeg J,Jeff Nordgren,Charlotte
RSimmons,RYAN SIMMONS,Atlanta
Sheppa M,Max Sheppard,Pittsburgh
McCall S,Sean McCall,Charlotte
Kevin Gr,Kevin Groulx,Montreal
Zaccar S,Sonny Zaccaro,San Jose
J Froude,Jay Froude ,Madison
Clark D,Donnie Clark,Seattle
Mack Ed,Eddie Mack,Cincinnati
A Mesh,Andrew Meshnick,Madison
Hutton N,Nick Hutton,Indianapolis
Matzuka,Brett Matzuka  ,Chicago
Schrin S,Scott Schriner,Cincinnati
